sub,tar LL,tar LR,tar RL,tar RR,1st r new cor,1st r new inc,1st r old l,1st r old r,2nd r new cor,2nd ret new inc,2nd r old l,2nd r old r,dis l l,dis l r,dis r l,dis r r
149,0,1.53,1.09,1.13,1.08,1.55,0.8,1.3,1.43,0.82,0.5,0.6,0.28,1.16,1.52,0
150,0,2.02,1.75,0,0,0.7,0,0,0,0.47,1.21,0,0,1.31,0,0
151,0.95,0.88,0.78,0.32,0,0.23,0.08,0.22,0.02,1.55,0.67,0.14,0.27,0.55,0,0
153,1.65,1.01,0.68,1.23,1.6,1.37,1.49,0.3,0.57,1.42,0.7,0.97,1.18,1.41,1.2,0.83
155,0.85,1.45,1.75,0.64,0.73,1.08,1.43,1.22,0.27,1.52,1.9,0.85,0.57,1.8,1.27,0.35
156,0,0.73,1.06,0.78,0,0,0.26,1.2,0,0,0.92,1.93,0,0.98,1.44,0.22
157,0.92,0.97,1.6,1.12,0,0.85,1.63,1.47,0,2.03,2.17,0.43,0.32,1.12,0.95,0.79
158,0.37,2.02,1.37,0.85,0.53,0.6,1.25,1.07,0.75,1,2.38,0.22,0,0.73,1.88,0
160,0.33,1.15,2.13,1.05,0.9,0.75,2.41,0.53,1.67,0.82,1.5,0.68,0.95,1.58,1.2,0.85
161,1.02,0.73,1.68,0.57,0.93,0.55,0.83,0,0.55,1.53,1.77,0.35,0.97,1.6,0.8,0.58
165,0.85,0.85,1.37,1.37,0.18,0,0.62,1.15,0.97,1.02,1.35,1.17,0.88,0.37,0.7,0.48
166,0,1.65,1.1,1.7,0,1.73,1.45,1.3,0.1,0.88,0.78,0.95,0,2.9,1.14,0.57
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0.42,1.32,0.63,0,0.75,0.57,1.64,0.45,0.53,1.02,1.13,0.68,0.67,1.37,1.29,1.22
173,0.95,0.38,1.08,2.2,1.2,2.13,0.85,0.55,1.48,1.28,0.95,1.02,0,1.18,1.56,1.45
174,1.07,1.43,0.88,1.23,0,2.88,1.37,0.32,1.2,1.43,1.89,0,2.76,1.92,0,0
175,0.77,1.07,1.27,1.51,1.13,1.23,0.85,1.07,1.24,0.83,2.2,0.3,0.58,2.08,0.65,0.84
176,0.9,1.93,1.05,0.73,0.53,0.95,1.37,1.78,0.87,1.59,1.53,0.4,1.22,1.58,0.25,1.57
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.35,2.23,1.83,0.32,0.62,2.38,1.62,0,0,1.31,1.52,0,0,2.32,0.09,0.85
