"Subject_ID" "acc1" "RT1" "acc2" "RT2" "acc3" "RT3" "acc4" "RT4" "acc5" "RT5" "acc6" "RT6" "acc7" "RT7" "acc8" "RT8" "acc9" "RT9" "acc10" "RT10" "acc11" "RT11" "acc12" "RT12" "acc13" "RT13" "acc14" "RT14" "acc15" "RT15" "acc16" "RT16" "acc17" "RT17" "acc18" "RT18" "acc19" "RT19" "acc20" "RT20"
101 1 3649 1 2678 1 2395 0 3568 1 8582 0 8138 1 2940 0 11424 1 11611 1 13579 1 6058 1 9418 1 3702 1 2817 1 1921 1 3236 1 2655 1 2637 1 1078 1 2631
102 1 3652 1 3526 1 2773 1 10617 1 7634 1 4977 0 5421 0 8068 1 2946 1 2629 1 2369 1 3930 1 3577 1 4352 1 2463 1 4502 1 3713 1 2830 0 6847 1 3666
103 1 4634 1 3034 1 3540 1 2799 1 2801 1 2082 1 1856 1 2068 1 1295 1 838 1 1081 0 3957 1 11708 1 2597 1 2373 1 1737 0 2360 1 2458 1 4761 1 1994
106 1 1982 1 4180 1 2629 1 3627 1 1577 1 1649 0 1227 1 3479 1 2553 1 1354 999 3329 0 2180 0 3850 1 1551 1 861 1 718 0 4663 1 1881 0 1583 0 1177
107 0 15747 0 2169 1 2411 0 1608 1 1718 1 2063 0 1156 0 1135 1 1918 1 1215 1 1556 1 1637 1 2060 1 1910 0 1757 1 1418 1 1229 1 2468 0 3030 0 1691
108 0 3446 1 2159 1 3652 0 1986 0 1153 1 2092 1 2152 1 2038 1 2310 1 2903 1 2169 1 1400 1 1454 0 1580 1 1851 1 2536 1 1506 0 3604 0 6216 0 2649
109 0 3349 1 1851 1 3087 1 2536 1 3611 1 2137 0 1377 0 1684 1 1226 1 1103 1 1555 1 2881 1 2800 1 2296 1 2161 1 2385 1 2024 0 2988 1 1640 1 1670
110 1 2320 0 1557 1 2639 1 3939 0 3674 1 3904 1 10220 1 2063 1 2386 1 2018 1 1989 1 2459 1 1922 1 2622 1 1800 1 2093 1 3209 1 4031 1 4264 1 2598
111 1 12386 1 4383 1 2504 1 2955 1 2176 1 2506 1 1988 0 1919 1 3135 1 1968 1 2414 1 2433 1 1973 1 2364 1 4704 1 2476 1 2747 0 2735 1 1876 0 4086
112 0 1613 1 3435 1 1622 1 2058 1 2119 1 2783 0 3744 1 1751 1 1487 1 2230 1 1808 1 2335 1 1631 0 2894 0 2167 1 1796 1 2326 1 1844 1 2548 0 1757
113 0 8067 1 4092 0 12155 1 5513 1 3391 1 3584 0 2822 0 2856 1 2678 1 2217 1 6586 1 3050 1 7556 1 3175 0 2742 1 2743 1 3495 1 4116 1 2893 1 2651
114 1 4994 1 9926 1 8541 1 6192 1 6718 1 4259 1 6199 1 3996 1 4466 1 4834 1 8240 0 4385 1 12421 1 2166 1 3152 1 4560 1 4580 1 7752 1 3541 1 4400
116 0 6159 1 2369 1 1725 1 1627 1 1226 0 1363 0 1656 1 1610 1 1499 1 1547 1 1177 0 990 0 1111 1 1577 0 1095 0 1805 0 2012 1 1361 1 1698 0 1447
117 1 4523 1 2166 1 2137 1 1928 1 1512 1 1967 1 1244 1 1666 1 2264 1 1848 1 2249 1 2063 1 2765 1 2262 1 2434 1 1841 1 2595 1 1663 0 1778 1 2167
118 1 6261 1 3271 1 2141 1 2686 1 1974 1 2439 1 1232 1 1389 0 1433 0 1738 1 1653 1 1812 1 1716 1 1422 0 1641 0 2789 1 2205 0 2513 1 1848 1 1458
121 0 6001 1 3299 1 2135 0 4450 1 2084 1 1794 0 1399 0 1444 1 1438 1 1310 1 975 0 1215 0 1423 0 1149 1 2054 1 1298 0 930 1 938 0 1584 1 4495
123 1 3115 1 1693 1 2118 1 2938 1 3059 1 1860 1 2080 0 5490 0 2458 1 2255 1 1717 1 2407 1 3490 1 1407 0 3288 1 2025 1 2066 1 2300 1 2683 1 1704
124 1 4031 1 3273 1 2230 1 2692 1 2385 1 4268 1 2629 1 1588 1 2671 1 2703 1 2258 1 3420 1 19231 1 3184 0 2309 1 2171 1 2652 1 1721 0 2957 0 2901
127 0 11339 0 4677 1 4608 0 16385 1 3181 0 5095 1 3803 1 10965 1 2566 1 11793 1 2580 1 4700 1 3145 1 8535 1 19330 1 11728 1 3549 1 6571 1 5475 1 3307
129 0 40156 1 2167 1 2088 0 10089 1 100299 1 954 999 99515956 999 99733565 0 99748472 0 99967003 999 99981956 0 0 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999 999
130 1 8426 0 4365 1 2831 0 1750 1 1977 0 5886 1 5172 1 2723 1 3096 1 4708 1 2368 1 3377 0 2078 0 2785 1 2675 1 1901 1 3095 1 35127 0 2444 1 3489
131 1 4223 1 5068 0 3682 1 4025 1 2976 0 8047 1 8353 1 5498 0 8758 1 2410 1 4161 1 43401 1 8463 1 11962 1 5808 1 14117 1 2188 0 2428 1 3498 1 5484
15 0 5492 1 2161 1 1865 0 2100 1 1646 1 2234 1 2560 1 2402 0 2211 1 2115 1 1871 1 2049 1 1689 0 2486 0 2956 0 2495 1 1652 0 1949 1 1686 1 2076
16 1 4434 1 2606 1 2668 1 5902 0 6830 1 3369 1 5295 1 5626 1 2424 1 3036 1 2633 1 4569 1 3560 1 6663 1 2353 1 2614 1 4473 1 9057 0 7449 1 3137
17 0 7549 1 3046 1 2998 0 2083 1 3942 1 3310 1 2983 1 3248 1 3234 1 2894 0 1615 0 2073 1 2485 1 2033 0 1716 0 1893 1 1630 0 1243 1 2305 1 2302
18 1 6940 1 4952 1 9541 1 6933 1 9266 0 12058 1 3843 1 14735 1 3803 1 4685 1 2890 0 3013 1 8511 1 8098 1 7898 0 8482 0 8060 1 4963 0 2580 1 8214
19 1 3786 0 2571 0 2249 1 3386 0 2564 0 2759 1 1893 1 2284 0 3329 0 2632 0 2228 1 3543 1 2414 0 3140 0 2251 0 2774 1 3176 0 2096 1 2130 1 3391
20 1 4721 1 2206 1 1686 1 3912 1 2525 1 2922 0 2360 0 2459 1 2295 1 2525 1 1895 1 3008 1 2718 1 1873 0 2166 1 1762 0 1242 1 1618 0 1525 0 1874
21 1 6864 1 4472 1 4121 1 8082 1 3459 1 6102 1 10018 1 4764 1 8015 1 1943 1 8765 0 7306 1 3027 0 4200 1 3529 1 3891 1 4202 1 5222 0 13102 1 3532
22 0 5021 1 2793 1 2090 1 2723 0 2393 0 2452 1 2659 1 2790 0 1861 1 2944 0 3390 1 2780 1 2307 1 2284 1 4218 1 2567 1 11139 0 4762 1 3174 1 4382
23 1 4556 1 5847 1 2961 1 2696 1 4301 1 4210 0 3230 0 3278 1 3618 1 1839 1 1552 999 144 1 2743 1 6091 1 3252 0 5299 0 3573 1 9425 1 6494 1 3929
24 1 5233 1 2408 1 1479 1 2856 1 2772 1 3905 1 2804 1 3264 1 2134 1 2321 1 2404 1 2020 1 6534 1 3518 1 3198 0 3163 1 6174 0 4164 1 3921 1 3358
26 1 4886 0 3007 0 3300 1 2609 1 4057 0 2937 1 2988 1 3478 0 2357 0 1849 0 2117 1 1464 1 1857 1 1533 0 2616 0 12943 1 2441 0 4732 1 3003 1 7029
28 0 2947 1 2794 0 2908 1 7255 1 3347 0 2955 0 2033 0 4147 1 3362 1 2688 1 4125 0 8539 1 6992 0 5961 0 2578 1 2634 0 6147 999 9034 999 5636 999 9760
31 0 6098 1 5051 1 2034 1 3241 1 2913 1 2757 1 4235 0 3341 1 2980 1 4048 1 3439 1 29320 1 2127 1 4578 0 5957 1 4755 1 2243 1 4320 1 3235 0 6418
33 1 17713 1 8647 1 12595 0 11927 1 6714 1 5944 0 4064 0 7426 1 3302 1 3106 1 2499 1 3815 1 15191 0 15131 1 9108 1 2776 0 26163 1 4305 0 8186 1 2772
34 1 3652 0 6701 0 4379 1 5103 1 2558 1 3241 0 11342 1 1887 1 2212 1 5102 1 71867 0 33032 0 16253 1 2179 1 1736 1 3159 0 1841 0 20608 0 8733 1 4026
35 0 5981 1 2468 1 4231 1 4329 1 2652 1 2472 1 3079 1 3704 0 1871 1 2589 1 1877 0 2409 0 1718 1 2078 0 2038 1 2451 0 1324 1 2987 0 2481 0 2705
36 1 3464 1 4028 1 2885 1 4842 1 2743 1 5247 1 4200 1 7293 1 5055 1 3368 1 3884 1 3079 1 3770 1 3023 0 4512 1 3502 1 4411 1 4144 1 6571 1 3506
37 0 2719 1 2303 1 2393 0 1927 1 2355 1 2705 0 848 1 2134 1 2611 1 2269 1 3550 0 1593 0 4709 0 4992 0 2 0 917 0 5152 1 2978 1 1284 1 4448
38 0 6459 1 3844 1 3786 1 3236 1 2653 0 21461 0 1786 1 2751 1 4029 1 2578 1 4341 1 5715 1 16662 1 4175 1 2216 1 22183 0 8898 1 2811 1 4596 1 5408
39 1 4292 1 5058 1 12952 1 16057 1 2712 1 4071 1 37755 1 1819 1 16228 1 4477 1 4092 1 17371 1 3369 1 1113 1 3993 0 2485 1 2434 1 4612 0 3166 1 2218
40 0 13753 999 15964 1 15821 1 4927 0 4231 1 4722 0 7403 1 3418 1 3304 1 3743 0 6684 999 13868 1 12181 0 6926 0 10412 1 4586 1 6058 1 5145 1 5410 999 31609
41 0 9145 1 3083 1 4306 1 4717 1 3321 1 4295 0 7584 0 3212 1 2897 0 3430 1 3445 1 2810 1 7483 0 5450 0 30786 1 5857 0 7063 0 6683 0 6482 1 3152
43 1 7846 1 4626 1 4293 0 9933 1 4515 1 4793 0 4750 1 5287 1 4386 1 2852 1 2945 1 3981 1 3326 1 3622 1 3518 1 4499 1 3285 0 4082 1 2670 1 3165
44 1 9396 1 4735 1 3816 1 6755 1 4232 0 6046 1 4219 1 4061 1 5188 1 3561 1 5978 1 5202 1 3379 1 4226 0 4682 1 3382 1 3414 1 4050 1 3204 1 4571
45 1 3795 1 8651 1 3743 1 3988 1 3814 1 4522 1 3714 1 6015 1 3640 1 5916 1 3491 1 3344 1 3416 0 4697 1 5427 999 16288 1 3219 1 2455 1 2801 999 6176
46 0 5414 1 2827 1 1368 1 3884 1 2326 1 6734 0 6861 1 2516 1 5627 1 4148 1 2976 1 4698 1 5980 1 2278 1 3205 1 3431 0 13271 1 5849 1 5555 1 3282
47 0 9984 1 2712 1 1796 0 2226 1 2192 1 2357 0 2454 0 2172 1 2830 1 2844 1 2259 1 3049 1 6434 1 7198 1 1904 0 2101 1 4650 1 4565 0 2750 0 3481
48 0 12721 1 6184 1 2224 1 4627 1 6574 1 3291 0 4715 1 5454 1 1941 1 2730 1 3037 1 3459 1 4932 1 6491 1 4186 1 3970 1 6111 1 3639 1 3980 1 5129
49 0 2288 1 3542 0 4834 1 3094 1 2833 1 2410 1 2558 1 2836 1 3081 1 2439 1 1788 1 2158 1 3020 1 2859 1 2231 0 2662 1 3700 1 4532 1 3561 1 2238
50 0 5179 1 2325 1 3058 1 3607 1 2488 1 3382 1 2732 0 4302 1 2872 1 6511 1 7691 0 3596 0 4851 1 3882 0 2968 1 2779 1 5375 1 15826 0 76124 1 2856
51 0 10209 1 3376 1 3052 1 2917 1 2752 1 4929 1 2728 1 4827 0 3971 1 2011 1 2141 1 1833 1 2650 1 1876 1 4094 1 3819 1 4566 1 3424 1 3967 1 1876
52 1 23130 1 3507 1 3964 1 5247 1 4716 1 4649 0 4295 1 10920 1 3036 1 2778 0 3407 1 6950 1 2186 1 10588 1 3125 0 7926 1 3766 1 2340 0 22075 1 3047
53 1 7753 1 4296 1 3913 1 4255 1 2266 1 8175 0 14638 1 5516 1 5070 1 4919 1 4427 0 5317 0 5332 1 5363 1 1554 1 4800 0 9727 1 1558 0 2816 1 5126
54 1 3703 1 5169 1 5296 1 2636 1 3038 0 7990 1 3547 1 3144 1 5093 1 3210 1 2466 0 4711 1 3856 0 5168 0 3287 1 2222 0 2785 1 4410 1 5701 1 4223
56 1 3221 1 3410 1 4803 1 4328 1 3155 1 2243 1 2033 1 3958 1 1865 1 3694 1 1938 1 6400 1 4437 0 3745 1 3230 0 4387 1 2433 1 19747 1 3933 1 4442
57 0 3597 0 3328 0 6561 0 5144 1 2911 1 3223 0 5563 0 3749 1 2365 0 15204 1 4634 0 2172 1 2565 0 2398 1 2779 1 2987 0 808 1 2070 0 1504 1 6746
58 0 4480 1 6143 999 25937 0 15120 1 2692 1 1500 0 266 0 848 1 12998 1 13371 1 8036 0 4990 0 2498 1 2247 1 1965 1 2035 1 4662 1 1332 0 5476 0 7554
59 1 6445 0 5476 1 4190 0 1722 1 3062 1 3740 1 2261 1 4579 0 1644 1 2395 1 3532 1 2615 1 2926 1 1844 1 8439 1 5429 1 5638 1 4410 1 2350 1 2164
60 0 4096 0 4861 1 1983 1 1870 1 1429 0 2367 0 3613 1 1404 0 1511 0 1441 0 1478 1 1079 1 882 1 1300 1 1207 0 997 1 577 0 894 1 1474 1 683
62 0 4782 1 3197 1 4262 1 3472 1 4541 0 6534 1 3782 1 2587 1 4007 1 4859 1 3192 1 4579 1 6215 1 1552 1 4237 1 3877 1 5698 1 3428 0 13918 1 1918
63 1 3274 0 2763 1 3497 1 3627 1 2011 1 3177 1 3955 0 2162 1 5420 1 2394 1 1970 1 3541 1 2019 1 2726 1 2341 1 3211 1 2893 0 3138 1 3791 1 3762
64 1 4550 1 6019 1 3955 1 5386 1 5570 1 2001 0 4191 0 3044 1 6445 1 4599 0 4457 0 5029 1 3417 1 6635 1 4633 1 3716 1 15108 0 8180 1 7236 1 2086
65 1 3553 1 6685 1 4989 0 2460 1 9776 1 3245 1 3678 1 3653 1 3567 1 6642 1 6224 1 5840 1 5840 1 3906 0 1216 1 1955 1 5762 1 11177 1 3054 1 5123
