155,0,0.25,0.25,0,0,0.03,0,0.25,0,0,0,0.08,0.25,0,0,0.01,0.05,0,0.25,0,0.16,0,0.25,0,0.01,0.24,0.25,0,0.08,0,0,0.03,0,0,0,0,0.19,0,,,
156,0,0,0.25,0,0,0.04,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0.02,0.23,0,0.25,0.04,0,0.25,0,0,0,0.25,0,0.14,0.11,0,0,0,0,0.2,0.05,0,0.25,
158,0,0.04,0.25,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.25,0,
159,0,0.01,0.25,0,0.25,0,0.13,0.12,0,0,0,0,0,0,0.25,0,0,0.25,0,0.16,0.25,0,0,0.25,0.13,0.12,0,0.25,0.23,0.02,,,,,,,,,,,
160,0,0,0,0.25,0,0,0.25,0,0.03,0.22,0.25,0,0.16,0.09,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0.15,0,0,0.25,0.25,0,0,0.25,0,0.25,0.25,0,0,0.25,
161,0,0.25,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0.07,0.18,0.25,0,0,0.25,0.06,0.19,0.11,0.14,0.25,0,0.24,0.01,0.25,0,0.2,0.05,0.25,0,0.25,0,0.2,0.05,0.25,0,
162,0.25,0,0.25,0,0.25,0,0.15,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0.11,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.11,0,0,0,
164,0,0.25,0.25,0,0,0,0,0,0.02,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.14,0,0.25,0,0.06,0.19,0,0.25,0.25,0,0,0.25,
165,0,0.12,0,0,0.25,0,0.09,0,0,0,0.14,0,0,0,0.09,0.16,0,0,0,0,0,0,0.25,0,0,0.25,0.14,0,0,0,0.23,0.02,0.25,0,0,0,0.25,0,0.25,0,
167,0.01,0.24,0,0.25,0.25,0,0.12,0.13,0.24,0,0.25,0,0.25,0,0,0.23,0,0.16,0.13,0.12,0,0.25,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.01,0,
169,0,0,0.25,0,0.23,0,0.25,0,0,0.25,0.19,0.06,0.25,0,0.23,0,0,0.25,0.25,0,0.22,0.03,0,0,0.04,0,0,0.25,0.04,0.21,0.25,0,0,0,0.25,0,0.11,0,0.25,0,
170,0,0.25,0,0,0.2,0,0.15,0,0,0.25,0.25,0,0,0.25,0.13,0,0.02,0.23,0,0.25,0,0.25,0,0.25,0,0.25,0,0.15,0,0,0.08,0.17,0,0.25,0.19,0,0.2,0.02,0,0,
171,0.25,0,0,0.25,0.02,0.23,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0.15,0,0.15,0.02,0.23,0.01,0.03,0,0.25,0,0.25,0.11,0.14,0.25,0,0.04,0.21,0.25,0,0.23,0.02,
172,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.13,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
173,0,0,0.25,0,0.25,0,0.04,0.21,0.25,0,0,0.25,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0,0.23,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,
174,0.25,0,0,0,0,0,0.02,0.23,0,0,0,0,0,0.03,0,0,0.25,0,0.05,0.2,0.25,0,0,0.25,0.21,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0.25,0,
176,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0,0.25,0.25,0,0,0,0.25,0,0.09,0.16,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,0.24,0.01,0,0.25,0,0,0,0.25,
177,0.06,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0,0.25,0,0,0.09,0.16,0,0,0.08,0,0.25,0,0,0.08,
178,0.12,0.13,0.25,0,0,0.02,0,0,0.12,0.13,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0.04,0.21,0.25,0,0,0.25,0.25,0,
179,0,0.17,0.25,0,0.13,0,0.21,0,0.12,0.13,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.12,0.13,0.1,0,0,0.25,0.25,0,0.25,0,0,0.25,0.03,0.22,0,0.25,0.25,0,
180,0.25,0,0,0,0,0.1,0,0.25,0,0,0,0.25,0,0.25,0.24,0.01,0.25,0,0,0.25,0,0.25,0,0,0.25,0,0.07,0,0,0.25,0.25,0,0,0.25,0,0.25,0.16,0,0.25,0,
181,0.25,0,0.25,0,0.25,0,0,0,0,0.25,0,0,0.04,0.21,0.22,0,0.12,0.13,0,0.25,0.04,0.21,0.25,0,0,0.25,0,0.25,0.25,0,0.25,0,0,0.1,0.25,0,0.25,0,0.25,0,
182,0,0.25,0,0.25,0.25,0,0.25,0,0,0,0.1,0.15,0,0.25,0,0.25,0,0.25,0.13,0.12,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0.25,0,0.06,0.19,0.09,0,
