69,1,-,-,-,-,-,0.8,0.2,0.29,0.71,-,-
70,-,-,-,-,-,-,-,-,0.35,-,-,-
72,0.83,-,-,-,-,-,0.44,-,0.25,0.67,-,-
73,0.63,0.13,-,-,-,-,0.85,0.15,0.83,-,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,0.1,0.9,0.81,-,-,-
76,0.58,0.02,-,-,-,-,0.13,0.87,0.1,0.02,-,-
77,0.26,0.41,-,-,-,-,-,0.97,0.21,-,-,-
78,-,-,-,-,-,-,0.03,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,,,,,,
81,0.19,0.81,0.28,0.72,0.4,0.32,,,,,,
83,-,1,1,-,0.06,0.94,,,,,,
87,0.3,0.08,0.38,0.6,0.54,0.34,,,,,,
89,-,-,-,-,-,-,,,,,,
90,-,1,0.69,0.31,-,1,,,,,,
91,0.68,-,0.62,-,-,-,,,,,,
93,0.33,0.27,-,-,0.5,-,,,,,,
95,0.13,0.1,-,-,-,-,-,0.68,-,1,-,-
98,0.3,0.7,-,-,-,-,1,-,-,1,-,-
101,0.02,-,-,-,-,-,-,-,0.18,0.7,-,-
97,-,1,-,-,-,-,0.83,-,0.95,0.05,-,-
102,0.57,0.43,-,-,-,-,0.85,-,0.05,0.95,-,-
103,-,0.97,-,-,-,-,-,1,-,1,-,-
P96,0.47,0.2,-,-,-,-,0.77,-,0.57,0.43,-,-
