23,1.23,3.08,1.14,2.51,1.2,0.97,2.07,1.98,2.13,2.05,1.45,2.48,1.72,1.7,2.87,0.93,2.11,1.75,1.2,3.39,0.8,0,1.35,0.3,0.28,0.93,3.63,0.98,2.29,1.15,1.3,0.65,0.75,0.68,0.42,0.63,3.18,1.58,1.6,2.37,1,29
24,1.03,1.53,2.68,1.31,1.82,0.3,0.73,1.43,1.5,0.23,1.32,1.25,2.46,1.63,0.2,0,2.23,1.66,1.68,1.4,1.52,1.78,2.94,1.1,2.51,1.52,0.17,0,0.05,0.95,2.81,1.12,0,0.67,1.82,1.55,1.54,0,1.67,0.92,2,29
25,2.25,0,2.03,0,1.53,1.65,0.95,0,0.57,0.88,1.6,1.08,0.48,0.17,2.33,1.78,1.8,0.68,1,3.01,0,0,1.4,1.55,0.8,0.95,3.12,0.78,2.05,0.6,2.33,1.45,0,0,1.25,2.41,0.35,0,3.09,0.62,1,30.3
26,3.01,1.45,0.8,0.5,1.89,0.6,1.1,2.07,2.61,2.13,1.65,1.02,0,0,0.88,0.76,2.61,0,0.7,0.9,0.42,1.96,2.7,1.52,0,0,0,0,2.85,1.82,1.02,0.9,,,,,,,,,1,28
27,1.33,2.43,0.97,1.37,2.35,1.82,0.75,1.26,0,0.07,1.58,3.14,0.9,0.62,0,0,3.4,1.21,0,0,2.3,2.23,2.07,0.25,1.05,1.83,0.5,0.28,0,0,1.47,3.26,2.07,0.5,0,0,0,0,3.59,1.4,2,29.8
28,2.73,1.19,2.5,1.65,1.45,2.3,0.87,3.33,1.55,1.66,1.6,0.73,2.71,1.4,2.78,1.8,3.35,0.72,1.66,2.9,3.02,1.62,1.87,1.55,1.05,0.52,0.9,3.65,0.78,1.98,0.83,0.5,1.52,0.67,1.8,2.58,3.3,0.55,1.38,2.2,1,26.4
29,0.65,0.25,0,0.33,3.36,0.6,0.83,0.18,0.59,0.27,1.4,1.52,0.17,0,1.28,0.78,1,2.35,0,0,0.47,0.93,0,0,1.93,1.45,2.26,0.4,0.4,1.65,0,0.27,0,0.33,0.6,0.43,0,0.9,0.3,0.95,2,26.6
30,0,0,0,0,1.62,2.97,1.73,3.24,0,0,1.23,1.08,0,0,1.7,2.33,0,0,0,0,0.7,2.03,0,0,1.95,0,0,0,0.73,4.25,0,0,0.68,4.07,0,0,2,0,1.65,0.5,1,29.2
31,0.23,0,3.64,0.82,2.52,2.15,0.56,0.23,0,0,0,0,0,0,2.5,1.82,0.38,0,0,0.7,0,0,0.08,0,1.51,3.21,0,0,1.77,2.06,0,0,0,0.12,2.11,1.18,2.9,1.67,2,1,2,28.7
32,3.45,1,3.48,1.17,2.33,1.05,2.06,2.5,3.64,1.03,2.53,2.03,1.83,3.03,1.68,2.82,3.41,1.25,2.14,2.07,3.09,1.48,0.63,2.94,1.3,3.07,4.05,0.6,2.46,2.16,2.53,1.85,0.83,3.75,2.05,2.25,1.52,1.27,3.56,1.05,3,29.6
