63,1.21,1.85,2.82,2.6,2.35,2.99,2.72,2.73,2.79,0.67,1.3,2.29,2.55,0.25,2.99,2.59,1.47,2.58,,
64,2.8,2.62,2.78,2.41,2.58,0.6,2.98,2.98,2.38,2.98,2.99,2.1,2.74,2.89,2.84,2.6,2.06,2.61,2.82,2.24
65,0.72,1.73,1.02,1.7,1.27,1.26,1.34,1.92,0.92,0.85,0.81,1,-,1.29,1.2,0.25,1.92,2.87,1.17,-
66,2.88,2.98,1.68,2.81,2.63,2.98,2.27,1.97,2.79,2.73,2.99,2.98,2.83,2.53,1.68,2.8,2.73,2.81,1.57,2.98
67,1.87,1.18,0.93,1.74,2.21,1.79,0.65,1.96,2.44,0.47,1.92,0.32,0.2,2.46,0.07,0.6,0.35,0.75,1.67,2.11
68,2.87,2.83,2.4,-,-,2.46,-,-,-,2.16,2.93,2.62,1.52,1.91,-,1.95,-,2.94,-,0.82
69,2.65,2.52,2.26,2.22,2.4,2.72,2.13,2.1,1.47,2.98,2.72,1.16,2.98,2.58,2.75,2.35,1.63,2.4,,
70,2.5,2.84,2.99,2.57,2.58,2.28,0.82,-,2.99,1.97,2.98,2.99,2.98,2.98,0.97,2.16,1.64,2.98,2.63,
71,2.98,2.26,2.97,0.33,1.2,1.94,1.68,1.23,1.87,0.68,2.97,2.98,2.38,2.59,2.27,2.85,0.27,0.98,2.27,2.94
72,1.92,1.43,2.85,1.82,1,2.29,1.38,1.42,1.39,2.97,1.16,2.98,2.5,2.99,2.4,2.75,2.3,1.79,2.86,1.63
p001,0.35,1.48,2,2.35,2.4,1.76,1.47,1.51,2.06,1,2.95,2.32,0.7,1.22,2.67,0.58,1.69,1.6,-,2.54
73,2.98,1.28,1.78,0.61,-,2.52,2.42,0.5,0.53,1.88,2.38,2.58,1.55,0.88,-,1.8,1.29,2.29,0.82,1
74,1.27,2.17,2.99,2.66,1.69,1.13,2.67,2.53,2.03,2.99,1.68,1.86,2.91,2.28,2.98,2.98,2.14,-,1.82,0.78
75,2,-,1.23,1.96,1.95,-,1.78,2.77,0.33,2.57,2.97,1.13,0.95,0.87,2.02,1.92,1.27,-,,
76,0.48,0.26,1.33,-,1.4,0.57,1.49,0.63,1.69,1.22,0.55,2.33,1.56,0.18,0.88,1.79,2.53,2.34,0.53,2.62
77,-,2.65,1.35,1.21,-,0.77,0.32,1.72,1.59,1.03,0.34,2.18,0.02,-,1.47,0.63,2.63,2.79,-,2.84
78,2.02,1.44,1.78,1.35,1.78,2.37,2.99,0.95,-,-,2.98,0.25,1.67,1.79,1.03,2.98,1.65,1.28,-,1.78
79,1.95,2.05,0.75,1.38,2.68,1.37,0.27,0.43,-,1,2.98,0.85,2.77,-,1.85,2.63,0.07,-,1,2.77
80,1.94,-,2.99,2.13,2.19,0.7,2.38,0.76,2.21,2.86,2.98,1.86,2.94,1.35,2.29,2.01,1.13,2.35,2.14,1.57
81,1.87,2.97,-,1.33,2.15,1.64,2.54,1.58,1.4,1.72,2.56,2.03,2.98,2.79,0.98,2.96,2.03,0.55,,
82,-,-,-,-,0.79,0.35,,,,,,,,,,,,,,
83,-,2.89,-,-,-,1.82,0.07,0.57,1.96,0.18,2.97,1.63,2.97,2.98,0.02,-,2.37,2.53,2.97,2.97
84,-,1.55,2.11,1.11,2.3,-,1.2,-,2.36,-,0.73,0.38,-,1.89,-,-,-,0.03,2.61,2.12
