69,0.14,0.86,-,-,-,-,0.7,0.3,0.49,0.51,-,-
70,-,-,-,-,-,-,0.45,-,0.46,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-
73,-,-,-,-,-,-,0.15,-,0.64,-,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-
75,-,-,-,-,-,-,-,1,0.45,0.37,-,-
76,0.24,0.6,-,-,-,-,-,0.61,-,-,-,-
77,-,1,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,1,-,-,-,-,-
79,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,,,,,,
81,0.47,0.53,-,0.73,-,0.3,,,,,,
83,-,1,0.58,0.42,-,0.78,,,,,,
87,-,0.96,-,0.41,-,1,,,,,,
89,-,-,-,-,-,-,,,,,,
90,-,0.8,-,1,-,0.78,,,,,,
91,-,0.96,0.91,-,-,-,,,,,,
93,0.01,0.33,-,-,-,0.32,,,,,,
95,-,0.78,-,-,-,-,-,1,0.34,0.53,-,-
98,0.75,0.25,-,-,-,-,1,-,-,0.4,-,-
101,-,-,-,-,-,-,-,-,-,0.32,-,-
97,-,1,-,-,-,-,0.45,0.12,0.99,0.01,-,-
102,-,1,-,-,-,-,0.13,0.87,-,1,-,-
103,0.13,-,-,-,-,-,-,0.75,0.42,0.58,-,-
P96,-,0.9,-,-,-,-,-,-,0.08,0.92,-,-
