23,-,-,2.85,1.93,1.91,-,2.6,0.92,1.87,1.12,2.98,2.46,1.55,0.53,0.5,0.32,2.98,0.03,2.98,0.75,
24,-,2.99,2.99,-,0.08,2.98,-,2.55,1.2,3,0.39,2.64,1.83,0.95,0.95,1.08,-,2.85,1.25,-,2.8
27,2.75,2.51,1.99,2.73,-,-,0.16,-,1.48,1.3,2.3,-,2.05,0.33,-,2.74,2.61,-,1.21,-,
28,2.93,1.83,2.42,2.79,2.47,0.15,2.98,2.99,2.99,2.83,2.35,0.18,2.5,2.7,2.99,2.98,2.98,2.98,1.61,2.63,
30,-,1.44,1.17,0.91,-,0.88,1.8,2.83,2.72,-,1.83,2.7,2.98,2.74,2.99,1.66,0.43,2.2,-,2.62,
31,0.98,-,1.76,2.83,1.15,2.38,2.82,2.99,0.11,2.98,2.88,2.62,1.3,-,1.85,2.99,2.55,1.19,1.43,2.58,
32,1.94,-,2.98,0.15,-,2.01,2.15,2.56,1.62,2.75,2.17,1.6,-,1.68,-,1.13,2.54,2.19,0.87,-,
33,2.03,2.47,0.72,1.75,2.06,1.25,1.49,2.84,0.45,0.81,0.45,2.53,1.49,2.39,2.09,1.53,1.7,1.76,2.81,1,
34,1.38,2.98,2.35,1.68,2.77,0.18,0.77,1.47,0.83,1.35,0.33,1.6,1.24,2.61,0.82,0.65,0.87,2.15,1.42,2.99,
35,2.6,2.26,-,1.57,2.73,2.98,2.98,-,1.07,-,2.46,0.47,-,0.45,2.09,0.42,2.42,2.87,2.76,1.67,
36,2.79,0.45,2.79,2.99,-,2.98,2.99,-,2.69,2.98,-,2.26,2.7,0.23,2.79,2.74,-,2.78,-,2.99,
37,-,1.73,-,-,0.7,-,0.78,0.57,0.55,0.37,1.49,-,-,1.25,1.43,0.4,1.08,0.2,0.4,1.78,
38,2.32,2.16,1.7,1.33,2.51,2.39,2.22,0.35,2.25,2.3,1.3,0.65,2.19,0.88,2.21,-,1.94,2.99,0.39,2.71,
39,1.41,1.02,-,0.28,1.93,1.65,2.69,0.83,2.48,-,1.75,2.58,2.19,1.2,0.22,-,0.12,1.1,1.36,1.48,
40,1.88,-,2.11,2.05,1.51,2.28,0.32,0.15,1.1,0.77,-,-,0.25,-,0.07,1.42,-,1.46,0.97,1.58,
41,1.16,2.8,1.09,-,2.07,2.33,1.84,0.33,1.66,2.05,1.38,2.99,2.53,1.63,0.12,1.12,0.83,1.46,1.09,1.57,
42,2.98,2.52,2.49,2.48,2.63,1.94,1.52,1.83,0.75,2.79,2.48,2.29,2.42,2.98,2.38,2.98,2.6,1.83,1.9,2.27,
43,1.8,2.85,2.99,2.8,2.51,2.13,1.2,2.99,1.48,2.98,0.89,2.98,2.23,1.58,0.58,2.75,2.97,2.61,2.72,2.2,
44,2.98,0.25,1.97,2.41,-,1.24,2.62,2.99,2.5,0.93,2.74,0.58,2.38,2.6,2.97,2,1.29,1.94,0.12,2.16,
45,2.82,2.81,1.95,2.65,2.7,2.53,1.56,-,0.47,2.82,2.48,2.81,2.56,2.67,2.76,2.54,2.68,2.52,1.4,2.2,
46,-,2.99,2.62,2.69,-,0.92,-,2.18,2.44,1.05,2.98,2.41,0.01,0.7,1.06,1.54,1.23,2.17,2.98,1.3,
