109,5.96,1.38,5.23,3.29,4.81,4.59,1.67,3.05
110,4.65,4.16,4.24,5.15,1.88,3.86,2.69,1.88
111,4.93,3.63,2.3,2.83,5.5,3.65,2.17,2.08
112,1.27,0,0,2.61,0,0.42,0,0.31
113,2.55,1.65,1.03,1.45,3.22,1.43,5.58,3.71
114,4.03,4.56,5.61,4,1.67,2.7,3.9,4.64
117,0,0,0.52,0.07,0.15,0,3.18,0.92
118,5.05,2.95,2.75,4.35,1.1,1.42,4.94,1.8
119,1.38,1.38,2.2,1.97,0.02,0,1.25,0.07
121,0.8,0.58,1.92,1.32,4.35,4.59,1.66,2.86
122,0.87,0.58,1.63,0.83,0.83,2.32,0,1.95
123,0,0,1.8,1.2,1.45,1.98,1.07,0.76
124,1.85,0.9,0.97,1.48,2.53,0.63,1.25,2.73
126,3.02,3.19,2.48,3.94,1.67,2.9,3.23,6
127,2.48,2.64,2.57,2.48,1.32,2.77,3.44,5.13
128,3.12,3.56,3.41,2.37,1.71,1.48,3.75,4.95
129,0,0,0,0,0,3.08,0,0
130,1.98,2.94,4.41,2.61,3.05,1.09,2.15,3.11
131,1.07,1.59,1.12,0.52,2.22,2.04,2.63,2.54
133,0,0.59,1.07,1.76,4.28,3.51,1.87,1.66
134,2.41,2.38,3.5,3.83,4.26,4.86,2.87,1.35
135,3.47,2.96,1.77,3.68,1.87,3.61,1.99,1.95
136,2.11,2.91,1.22,1.87,3.64,2.26,3.35,0.96
138,5.6,2.88,4.26,3.73,1.4,2.95,4.91,4.51
139,4.08,1.93,2.23,4.6,1.35,1.58,4.46,4.4
141,0.7,0.85,0,0,3.51,0.9,3.83,1.37
142,2.89,3.05,3.45,5.48,1.6,1.67,4.81,0.83
143,1.83,1,0.31,1,0.58,0.73,2.33,1.96
144,2.02,2.05,2.41,2.73,1.27,1.92,2.68,2.15
145,2.02,1.5,0.22,0.27,4.69,3.6,1.83,1.15
146,3.27,1.06,1.5,2.93,1.32,1.63,0.03,0.12
147,1.65,1.88,6.18,2.61,2.66,1.78,2.9,1.5
149,2.58,4.24,4.35,2.46,1.4,3.23,1.78,2.8
150,0.22,0,0,0,0.4,0.6,1.18,0.27
151,0,0,0,0,0,0,0.78,0.92
153,2.18,4.26,3.13,2.28,1.72,1.22,3.86,1.93
155,4.3,2.35,2.05,0.12,2.48,1.75,2.95,4.36
156,2.52,1.63,4.5,2.47,1.75,1,2.86,4.5
157,2.4,2.75,1.95,1.93,3.71,2.24,2.4,1.17
158,1.32,2.3,4.01,1.08,6.96,2.36,1.45,2.4
160,4.55,3.48,3.11,3.96,1.48,3.15,2.44,2.17
161,2.1,2.68,2.66,3.8,1.78,2.43,3.64,4.35
165,0.69,0.12,1.22,1.43,2.08,2.36,2.13,3.61
166,2.13,0.6,2.8,1.57,0,0,1.75,2.98
167,4.48,4.08,4.75,4.9,2.54,1.95,3.75,5.12
170,1,1.28,3.11,1.47,3.06,3.78,3.3,1.17
173,3.15,5.97,6.81,1.77,3.25,1.28,5.93,2.75
174,4.83,2.88,7.45,1.8,2.5,2.04,3.51,5.81
175,3.88,3.37,5.68,2.22,1.5,2.49,5.5,3.41
178,0.31,0,0,0,0,0.36,0,0.2
180,4.41,3.73,6.47,3.25,1.63,2.87,4.63,4.26
