1,0,0,0,0,0,0,0,0.25
2,0,0,0,0.07,0,0.18,0,0
3,0,0,0,0,0,0,0,0
6,0,0.11,0.25,0,0.25,0,0,0.25
7,0,0.25,0.25,0,0.2,0.05,0.22,0.03
8,0.25,0,0.25,0,0,0.25,0,0.25
9,0.25,0,0.25,0,0.25,0,0,0.25
10,0.25,0,0.25,0,0.22,0.03,0.25,0
11,0,0,0.02,0,0,0,0.1,0.15
12,0,0.25,0.25,0,0.25,0,0.25,0
13,0.25,0,0,0.25,0,0.25,0,0.01
14,0,0,0,0.25,0,0.25,0,0.17
15,0.25,0,0.17,0,0,0.25,0.24,0.01
16,0,0.17,0,0.01,0.18,0,0,0.25
17,0.25,0,0,0.04,0,0.25,0.25,0
18,0,0.25,0.19,0.06,0.03,0,0,0
19,0,0.25,0,0.25,0.11,0,0,0
20,0.25,0,0.16,0.09,0.25,0,0.25,0
21,0,0.25,0.25,0,0.25,0,0.13,0
22,0,0.25,0.25,0,0,0.25,0.15,0
23,0,0.25,0.07,0,0,0.25,0.04,0.21
24,0.19,0,0.01,0.01,0,0,0.23,0.02
25,0,0,0,0,0,0.01,0,0
27,0.05,0.2,0,0.25,0.25,0,0.25,0
28,0,0,0.25,0,0.25,0,0,0.25
31,0.25,0,0,0.25,0.25,0,0.25,0
33,0,0,0,0,0.22,0.03,0,0.25
34,0,0,0.25,0,0.25,0,0,0.25
35,0.25,0,0,0.25,0.15,0,0,0.25
36,0,0,0.25,0,0.25,0,0.24,0
37,0.25,0,0,0,0,0,0.23,0.02
38,0,0,0.04,0.21,0,0.25,0.25,0
39,0.25,0,0,0,0,0,0.16,0
41,0.25,0,0.25,0,0,0,0.25,0
42,0.1,0.15,0.25,0,0.15,0.1,0,0
43,0.25,0,0,0,0.13,0.12,0,0.25
45,0.19,0.06,0.17,0.08,0.25,0,0,0.25
46,0,0,0.25,0,0.25,0,0,0
48,0.25,0,0.24,0.01,0.25,0,0.09,0.16
49,0,0,0,0.25,0.24,0,0,0.09
50,0,0.25,0,0.25,0,0.25,0,0
51,0.25,0,0,0,0.25,0,0.01,0
52,0.05,0,0,0.25,0.11,0.14,0.1,0
53,0.2,0,0.25,0,0.03,0.03,0,0.25
54,0.25,0,0,0.25,0,0.02,0,0.25
55,0,0,0,0,0,0,0,0
56,0,0,0,0.25,0,0.25,0.09,0.16
57,0,0.25,0.25,0,0.25,0,0,0.25
59,0.05,0.2,0.25,0,0.25,0,0.25,0
62,0.25,0,0.02,0.23,0,0.25,0.25,0
63,0.16,0.09,0,0.25,0,0.25,0,0.25
64,0.02,0.23,0.25,0,0,0.25,0,0.25
65,0,0.25,0.25,0,0,0,0,0.25
66,0,0.25,0,0.25,0.25,0,0.06,0.19
67,0,0.25,0,0.25,0,0.25,0.25,0
69,0.04,0.21,0,0,0,0.25,0.25,0
70,0,0,0,0.25,0,0,0.25,0
71,0.1,0.01,0.25,0,0.25,0,0,0.25
72,0,0,0.25,0,0,0,0,0.25
73,0,0,0,0,0.09,0.16,0,0
74,0,0.23,0.25,0,0,0.15,0,0
75,0,0.25,0,0,0,0,0,0.19
76,0.25,0,0,0,0,0,0,0
