28,2.73,1.19,2.5,1.65,1.45,2.3,0.87,3.33,1.55,1.66,1.6,0.73,2.71,1.4,2.78,1.8,3.35,0.72,1.66,2.9,3.02,1.62,1.87,1.55,1.05,0.52,0.9,3.65,0.78,1.98,0.83,0.5,1.52,0.67,1.8,2.58,3.3,0.55,1.38,2.2
29,0.65,0.25,0,0.33,3.36,0.6,0.83,0.18,0.59,0.27,1.4,1.52,0.17,0,1.28,0.78,1,2.35,0,0,0.47,0.93,0,0,1.93,1.45,2.26,0.4,0.4,1.65,0,0.27,0,0.33,0.6,0.43,0,0.9,0.3,0.95
30,0,0,0,0,1.62,2.97,1.73,3.24,0,0,1.23,1.08,0,0,1.7,2.33,0,0,0,0,0.7,2.03,0,0,1.95,0,0,0,0.73,4.25,0,0,0.68,4.07,0,0,2,0,1.65,0.5
31,0.23,0,3.64,0.82,2.52,2.15,0.56,0.23,0,0,0,0,0,0,2.5,1.82,0.38,0,0,0.7,0,0,0.08,0,1.51,3.21,0,0,1.77,2.06,0,0,0,0.12,2.11,1.18,2.9,1.67,2,1
32,3.45,1,3.48,1.17,2.33,1.05,2.06,2.5,3.64,1.03,2.53,2.03,1.83,3.03,1.68,2.82,3.41,1.25,2.14,2.07,3.09,1.48,0.63,2.94,1.3,3.07,4.05,0.6,2.46,2.16,2.53,1.85,0.83,3.75,2.05,2.25,1.52,1.27,3.56,1.05
33,2.76,1.45,2.43,1.25,2,1.23,0.78,0.38,0.92,0.73,1.93,1.71,0.43,1.07,2.67,0.7,0.67,1.28,1.3,1.35,2.11,0.82,2.13,1.33,2.13,1.93,2.18,1.25,3.09,0.78,1.67,2.59,2.54,1.43,0.93,1.52,1.83,1.91,0.62,1.35
34,2.55,0.74,1.62,0.57,0.27,0,1.32,1.9,2.38,0.59,2.95,0.54,1.59,0.2,1.73,0.7,3.18,0.83,0,0.77,2.71,0.7,2.18,0.72,1.17,0.18,0,0,2.73,0.77,0.93,0.65,1,0.35,0.83,0.97,0.95,1,2.63,0.45
35,1.83,2.8,3.66,0.63,2.86,0.35,2.81,1.82,1.25,2.04,2.85,1.86,1.77,2.28,3.51,1.15,2.56,1.79,3.84,0.83,2.23,2.25,1.53,2.58,3.21,1.48,2.91,1.62,2.11,2.43,0,0,2.31,1.37,1.58,2.8,2.02,2.68,1.28,3.1
36,2.88,1.77,2.34,2.22,2.28,2.27,1.17,1.04,1.83,2.75,4.51,0,2.43,2.26,2.71,0.83,3.56,1.08,3.46,1.27,3.41,1.21,2.5,2.18,3.12,1.37,3.47,0.87,2.1,2.02,4.08,0.6,0,2.52,3.38,0.98,2.95,1.66,3.67,0.88
37,2.21,0.67,0.18,0.38,0,0,0,0,0.07,0.08,0,0.3,0,0,0,0,0.02,0,0,0,0.75,0.18,1.62,0.15,0.8,0,0,0,0.07,0,0,0,0,0,1.22,0.88,0.25,0.3,1.5,1.23
38,2.85,1.06,1.83,2.64,0.83,0.98,2.91,1.47,2.07,2.3,1.42,2.86,2.73,1.72,2.53,0.66,0,0,2.1,1.39,0.2,0,2.05,1.18,2.11,2.33,3.27,1.3,1.01,0.95,1.38,2.94,2.2,1.92,0,0,0.05,0,1.73,1.58
39,0.62,0.4,1.73,1.65,2.48,0.94,1.85,2.44,3.87,0.35,0.92,1.04,2.7,0.48,0.88,1.1,1.28,0,0.13,0.32,0.68,0.8,0.32,1,1.75,1.87,0.65,2.15,0.6,1.37,0,0.57,0.1,0,0.87,1.17,3.38,0.82,1.23,0.58
40,2.63,1.82,0.95,1.3,0.73,0.35,2.41,1.98,2.48,1.69,3.95,0.78,1.18,1.9,3.8,0.62,0.98,0.45,2.36,2.62,0.7,0.67,1.51,1.02,0.98,2.73,0.78,0,0.78,1.2,2.91,1.43,1.6,2.51,2.41,0,0.85,2.25,2.2,0.4
41,0.88,0.33,0.9,1.2,0,0,2.2,1.45,0,0,0.7,0.77,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,1.22,0,1.03,0.45,0,0.1,0,0.07,0.3
42,1.47,0.53,1.05,0.93,1.62,2.5,2.04,1.08,1.68,1.55,1.38,2.02,3.49,0.92,1.3,1.05,2.51,0.6,2.51,1.12,0.25,4.2,2.02,2.33,2.45,1.22,0.48,1.1,0.33,2.48,2.76,1.86,2.11,1.55,0,4.42,3.13,1.5,3.95,0.58
43,0,0,0,0,0.25,0,1.5,1.5,1.62,1.98,2.94,1.87,0.27,0,0.95,0.53,0.95,0.48,2.31,0.4,3.47,0.37,3.45,0.58,1.6,0.64,2.2,0.52,0,0,3.08,0.78,3.14,0.82,2.4,0.42,2.65,1.75,1.46,0.57
