28,0.25,0,0.25,0,0.16,0.09,0,0.25,0.25,0,0,0,0.25,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0.05,0.2,0,0,0,0,0,0,0,0.25,0.25,0,0.17,0,,,,,,,,,,,,,,,,,,,,
29,0,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0.01,0,0,0.25,0,0,0,0,0,0,0.25,0,0.02,0,0,0.25,0,0,0,0,0,0,0,0,0,0.04,,,,,,,,,,,,,,,,,,,,
30,0,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0.11,0,0,0,,,,,,,,,,,,,,,,,,,,
31,0,0,0.25,0,0,0.25,0,0.02,0,0,0,0,0,0,0.14,0,0,0,0,0.05,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0.14,0.11,0.2,0,,,,,,,,,,,,,,,,,,,,
32,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.03,0.22,0.14,0.11,0,0.25,0.25,0,0.25,0,0,0.25,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.12,0.13,0.12,0.21,0.04,,,,,,,,,,,,,,,,,,,,
33,0.25,0,0.25,0,0,0.25,0,0,0.24,0.01,0.08,0.09,0,0.2,0.25,0,0,0,0,0,0,0.25,0,0,0.11,0.14,0.1,0.15,0.25,0,0.25,0,0.05,0.2,0,0,0,0.11,0,0,,,,,,,,,,,,,,,,,,,,
34,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.12,0.13,0.25,0,,,,,,,,,,,,,,,,,,,,
35,0,0.25,0.25,0,0.25,0,0,0.25,0,0.17,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0,0.25,0,0.25,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0,0.25,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
36,0.25,0,0.08,0.17,0.25,0,0,0,0.2,0.05,0.25,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0.12,0.25,0,0,0,0.16,0.09,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
37,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0.25,,,,,,,,,,,,,,,,,,,,
38,0.25,0,0.25,0,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0.1,0,0,0,0,0.24,0,0,0,0.17,0.21,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0,0,0,0.11,0,,,,,,,,,,,,,,,,,,,,
39,0,0,0.25,0,0.15,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.07,0.21,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
40,0.25,0,0,0,0,0,0,0.25,0.23,0.02,0.25,0,0,0.14,0.25,0,0,0,0,0.25,0,0,0,0,0.07,0.18,0,0,0,0,0.25,0,0.23,0,0.25,0,0,0.14,0,0,,,,,,,,,,,,,,,,,,,,
41,0,0,0.04,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
42,0,0,0,0,0,0.25,0.04,0,0,0,0,0,0.25,0,0,0,0.06,0,0.15,0,0,0.25,0,0.25,0.25,0,0,0,0,0.25,0.12,0.13,0.25,0,0,0.25,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0,0,0,0.19,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.02,0,0,0,0.25,0,0,0,0.25,0,0.01,0,0,0,0.21,0.04,0,0,,,,,,,,,,,,,,,,,,,,
45,0,0,0.25,0,0.25,0,0.22,0.03,0.25,0,0,0.25,0.25,0,0,0,0,0.07,0,0,0.25,0,0.25,0,0,0,0.25,0,0,0,0.25,0,0,0.17,0,0,0.25,0,0,0.23,,,,,,,,,,,,,,,,,,,,
46,0,0.25,0,0.25,0,0.25,0.19,0.06,0.12,0.13,0.25,0,0,0.25,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0.08,0,0.25,0,0,0.14,0.11,0,0,0.25,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
47,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.03,0.22,0.25,0,0.25,0,0.13,0.12,0,0.25,0.2,0.05,0,0,0.25,0,0,0.04,0.25,0,0,0,0.25,0,0.02,0.23,0.24,0,0.25,0,,,,,,,,,,,,,,,,,,,,
48,0.25,0,0.2,0,0,0.25,0.2,0.05,0.25,0,0,0.25,0,0.14,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0.2,0.05,0.25,0,0,0.25,0,0,0.04,0.21,0,0.25,0,0.25,,,,,,,,,,,,,,,,,,,,
49,0.16,0.09,0,0.25,0.25,0,0.25,0,0,0,0,0.25,0.14,0.11,0,0,0.25,0,0.02,0,0,0,0,0,0,0.22,0,0,0.25,0,0,0,0,0,0.24,0.01,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
50,0,0,0,0.03,0.25,0,0.17,0.08,0.25,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
51,0,0,0.06,0,0,0.25,0,0,0,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0.09,0.21,0.04,0,0,0,0.25,0,0,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
52,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0.25,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,,,,,,,,,,,,,,,,,,,,
53,0.07,0,0,0,0,0,0,0,0.16,0,0.13,0.12,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
54,0.23,0.02,0,0.08,0.25,0,0.25,0,0.25,0,0.02,0.23,0,0.1,0,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
55,0,0,0.25,0,0,0,0,0.03,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0.25,0,,,,,,,,,,,,,,,,,,,,
56,0,0.25,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0.19,0,0.01,0,0.25,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.09,0,0,,,,,,,,,,,,,,,,,,,,
57,0,0.25,0,0.03,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0.25,0,0.25,0,0,0.25,0,0.25,0,0.11,0,0.25,0.25,0,0,0.22,,,,,,,,,,,,,,,,,,,,
58,0,0.25,0.25,0,0.25,0,0.18,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0.13,0.12,0.25,0,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
59,0.06,0.19,0.25,0,0.13,0.12,0.25,0,0.25,0,0,0.25,0.25,0,0,0,0.23,0,0,0,0,0.25,0.07,0,0.25,0,0,0,0,0.25,0.25,0,0.22,0.03,0.03,0.22,0,0.25,0.25,0,,,,,,,,,,,,,,,,,,,,
60,0,0,0,0,0,0,0,0,0.25,0,0.01,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.25,0,0.06,0.19,0,0,,,,,,,,,,,,,,,,,,,,
61,0,0.02,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0.25,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.16,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
63,0.25,0,0,0.06,0,0,0,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,,,,,,,,,,,,,,,,,,,,
