"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar"
"17","123",3115,1,"1","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Cake","1","Left","CakeHat","similar"
"18","34",3652,1,"1","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Cookie","1","Left","CookiePizza","similar"
"19","35",5981,0,"1","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Cake","1","Right","CakeHat","similar"
"20","36",3464,1,"1","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Chair","1","Left","ChairRefrigerator","similar"
"21","37",2719,0,"1","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bear","1","Left","ElephantBear","similar"
"22","38",6459,0,"1","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Pizza","1","Left","CookiePizza","similar"
"23","39",4292,1,"1","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Hat","1","Right","CakeHat","similar"
"24","40",13753,0,"1","Male","Hispanic","Caucasian","e","g","g",2.33,27.95,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar"
"25","41",9145,0,"1","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Elephant","1","Right","ElephantBear","similar"
"26","43",7846,1,"1","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Cake","1","Left","CakeHat","similar"
"27","44",9396,1,"1","Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Chair","1","Left","ChairRefrigerator","similar"
"28","45",3795,1,"1","Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Bear","1","Right","ElephantBear","similar"
"29","46",5414,0,"1","Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Pizza","1","Left","CookiePizza","similar"
"30","47",9984,0,"1","Male","Not Hispanic","Asian, Caucasian","f","g","g",2.46,29.52,7,0,"Hat","1","Left","CakeHat","similar"
"31","48",12721,0,"1","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Refrigerator","1","Left","ChairRefrigerator","similar"
"32","49",2288,0,"1","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Elephant","1","Right","ElephantBear","similar"
"33","50",5179,0,"1","Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Cookie","1","Right","CookiePizza","similar"
"34","51",10209,0,"1","Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Cake","1","Right","CakeHat","similar"
"35","53",7753,1,"1","Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Bear","1","Right","ElephantBear","similar"
"36","54",3703,1,"1","Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Pizza","1","Right","CookiePizza","similar"
"37","56",3221,1,"1","Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Refrigerator","1","Right","ChairRefrigerator","similar"
"38","57",3597,0,"1","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Elephant","1","Right","ElephantBear","similar"
"39","58",4480,0,"1","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Cookie","1","Right","CookiePizza","similar"
"40","59",6445,1,"1","Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Cake","1","Left","CakeHat","similar"
