condition,trial,acc,response,item
5,7,1,Left,AppleStrawberry
5,8,1,Left,Ice creamBroccoli
5,9,1,Right,Teddy Bearcrayon
5,10,1,Left,JacketPillow
5,11,1,Left,PigButterfly
5,12,1,Right,SpoonFork
5,13,1,Right,MouseRefrigerator 
5,14,1,Left,TVBread
5,15,1,Right,OrangeBall
5,16,1,Right,ShoeSock
5,17,1,Left,BalloonsDuck 
5,18,1,Left,FlowersCat
5,19,1,Left,CookiePizza
5,20,1,Right,ChairGrapes
5,1,0,Left,ElephantBear
5,2,0,Left,ClockBicycle
5,3,0,Right,CakeDoll
5,4,0,Left,EggHat
5,5,0,Right,BottleLeaf
5,6,0,Left,BunnyDog
5,7,0,Right,AppleStrawberry
5,8,0,Right,Ice creamBroccoli
5,9,0,Left,Teddy Bearcrayon
5,10,0,Right,JacketPillow
5,11,0,Right,PigButterfly
5,12,0,Left,SpoonFork
5,13,0,Left,MouseRefrigerator 
5,14,0,Right,TVBread
5,15,0,Left,OrangeBall
5,16,0,Left,ShoeSock
5,17,0,Right,BalloonsDuck 
5,18,0,Right,FlowersCat
5,19,0,Right,CookiePizza
5,20,0,Left,ChairGrapes
6,1,1,Right,CookiePizza
6,2,1,Right,ShoeSock
6,3,1,Left,BalloonsDuck 
6,4,1,Right,FlowersCat
6,5,1,Left,PigButterfly
6,6,1,Right,TVBread
6,7,1,Left,OrangeBall
6,8,1,Left,SpoonFork
6,9,1,Right,MouseRefrigerator 
6,10,1,Left,ChairGrapes
6,11,1,Left,ClockDog
6,12,1,Right,Teddy BearDoll
6,13,1,Right,BunnyStrawberry
6,14,1,Left,Bottlecrayon
6,15,1,Right,EggPillow
6,16,1,Right,JacketLeaf
6,17,1,Left,AppleBear
6,18,1,Left,ElephantBroccoli
6,19,1,Left,CakeHat
6,20,1,Right,Ice creamBicycle
6,1,0,Left,CookiePizza
6,2,0,Left,ShoeSock
6,3,0,Right,BalloonsDuck 
6,4,0,Left,FlowersCat
6,5,0,Right,PigButterfly
6,6,0,Left,TVBread
6,7,0,Right,OrangeBall
6,8,0,Right,SpoonFork
6,9,0,Left,MouseRefrigerator 
6,10,0,Right,ChairGrapes
6,11,0,Right,ClockDog
6,12,0,Left,Teddy BearDoll
6,13,0,Left,BunnyStrawberry
6,14,0,Right,Bottlecrayon
6,15,0,Left,EggPillow
6,16,0,Left,JacketLeaf
6,17,0,Right,AppleBear
6,18,0,Right,ElephantBroccoli
6,19,0,Right,CakeHat
6,20,0,Left,Ice creamBicycle
7,1,1,Right,CakeHat
7,2,1,Right,JacketLeaf
7,3,1,Left,AppleBear
7,4,1,Right,ElephantBroccoli
7,5,1,Left,ClockDog
7,6,1,Right,Bottlecrayon
7,7,1,Left,EggPillow
7,8,1,Left,Teddy BearDoll
7,9,1,Right,BunnyStrawberry
7,10,1,Left,Ice creamBicycle
7,11,1,Left,OrangeBread
7,12,1,Right,PigDuck 
7,13,1,Right,TVFork
7,14,1,Left,FlowersButterfly
7,15,1,Right,MouseCat
7,16,1,Right,BalloonsGrapes
7,17,1,Left,SpoonBall
7,18,1,Left,CookieSock
7,19,1,Left,ChairRefrigerator 
7,20,1,Right,ShoePizza
7,1,0,Left,CakeHat
7,2,0,Left,JacketLeaf
7,3,0,Right,AppleBear
7,4,0,Left,ElephantBroccoli
7,5,0,Right,ClockDog
7,6,0,Left,Bottlecrayon
7,7,0,Right,EggPillow
7,8,0,Right,Teddy BearDoll
7,9,0,Left,BunnyStrawberry
7,10,0,Right,Ice creamBicycle
7,11,0,Right,OrangeBread
7,12,0,Left,PigDuck 
7,13,0,Left,TVFork
7,14,0,Right,FlowersButterfly
7,15,0,Left,MouseCat
7,16,0,Left,BalloonsGrapes
7,17,0,Right,SpoonBall
7,18,0,Right,CookieSock
7,19,0,Right,ChairRefrigerator 
7,20,0,Left,ShoePizza
8,1,1,Right,ChairRefrigerator
8,2,1,Right,BalloonsGrapes
8,3,1,Left,SpoonBall
8,4,1,Right,CookieSock
8,5,1,Left,OrangeBread
8,6,1,Right,FlowersButterfly
8,7,1,Left,MouseCat
8,8,1,Left,PigDuck
8,9,1,Right,TVFork
8,10,1,Left,ShoePizza
8,11,1,Left,BottleLeaf
8,12,1,Right,Ice creamBroccoli
8,13,1,Right,Teddy Bearcrayon
8,14,1,Left,BunnyDog
8,15,1,Right,AppleStrawberry
8,16,1,Right,ClockBicycle
8,17,1,Left,CakeDoll
8,18,1,Left,EggHat
8,19,1,Left,ElephantBear
8,20,1,Right,JacketPillow
8,1,0,Left,ChairRefrigerator
8,2,0,Left,BalloonsGrapes
8,3,0,Right,SpoonBall
8,4,0,Left,CookieSock
8,5,0,Right,OrangeBread
8,6,0,Left,FlowersButterfly
8,7,0,Right,MouseCat
8,8,0,Right,PigDuck
8,9,0,Left,TVFork
8,10,0,Right,ShoePizza
8,11,0,Right,BottleLeaf
8,12,0,Left,Ice creamBroccoli
8,13,0,Left,Teddy Bearcrayon
8,14,0,Right,BunnyDog
8,15,0,Left,AppleStrawberry
8,16,0,Left,ClockBicycle
8,17,0,Right,CakeDoll
8,18,0,Right,EggHat
8,19,0,Right,ElephantBear
8,20,0,Left,JacketPillow
