Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,1,1.01,encode,57,SPACE,"press spacebar to start practice",15779,True,0,81,114,"press spacebar to start practice",15784,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,2,2.01,encode,57,SPACE,"YELLOW",2188,True,15898,115,132,"YELLOW",2217,"blacksquare.bmp",484,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,3,3.01,encode,57,SPACE,"BLUE",1426,True,18731,32,49,"BLUE",1450,"blacksquare.bmp",485,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,4,4.01,encode,57,SPACE,"RED",1121,True,20715,32,48,"RED",1151,"blacksquare.bmp",484,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,5,5.01,encode,57,SPACE,"GREEN",1146,True,22398,32,49,"GREEN",1167,"blacksquare.bmp",484,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,6,6.01,encode,57,SPACE,"RED",1002,True,24098,33,49,"RED",1033,"blacksquare.bmp",485,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,7,7.01,encode,57,SPACE,"BLUE",1297,True,25665,32,49,"BLUE",1316,"blacksquare.bmp",485,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,8,8.01,encode,57,SPACE,"GREEN",891,True,27515,33,49,"GREEN",916,"blacksquare.bmp",485,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,9,9.01,encode,57,SPACE,"BLUE",951,True,28965,32,48,"BLUE",967,"blacksquare.bmp",485,
9/13/2014,10:22,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,26,1,1,10,10.01,encode,57,SPACE,"GREEN",960,True,30465,32,48,"GREEN",984,"blacksquare.bmp",485,
