Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct
170,1,1,1,1,encode,57,SPACE,"press spacebar to start practice",2635,True
170,1,1,2,2,encode,57,SPACE,"YELLOW",1732,True
170,1,1,3,3,encode,57,SPACE,"BLUE",1206,True
170,1,1,4,4,encode,57,SPACE,"RED",1164,True
170,1,1,5,5,encode,57,SPACE,"GREEN",1276,True
170,1,1,6,6,encode,57,SPACE,"RED",1319,True
170,1,1,7,7,encode,57,SPACE,"BLUE",1474,True
170,1,1,8,8,encode,57,SPACE,"GREEN",1150,True
170,1,1,9,9,encode,57,SPACE,"BLUE",1071,True
170,1,1,10,10,encode,57,SPACE,"GREEN",1162,True
170,1,1,11,11,encode,57,SPACE,"YELLOW",1194,True
170,1,1,12,12,encode,57,SPACE,"END",8437,True
170,1,1,13,13,encode,57,SPACE,"press spacebar to start task",1066,True
170,1,1,14,14,encode,57,SPACE,"GREEN",2092,True
170,1,1,15,15,encode,57,SPACE,"BLUE",1878,True
170,1,1,16,16,encode,57,SPACE,"BLUE",1376,True
170,1,1,17,17,encode,57,SPACE,"YELLOW",1440,True
170,1,1,18,18,encode,57,SPACE,"BLUE",1133,True
170,1,1,19,19,encode,57,SPACE,"BLUE",1181,True
170,1,1,20,20,encode,57,SPACE,"RED",1349,True
170,1,1,21,21,encode,57,SPACE,"RED",1358,True
170,1,1,22,22,encode,57,SPACE,"RED",1157,True
170,1,1,23,23,encode,57,SPACE,"RED",1125,True
170,1,1,24,24,encode,57,SPACE,"BLUE",1862,True
170,1,1,25,25,encode,57,SPACE,"YELLOW",1249,True
170,1,1,26,26,encode,57,SPACE,"GREEN",1150,True
170,1,1,27,27,encode,57,SPACE,"YELLOW",1431,True
170,1,1,28,28,encode,57,SPACE,"BLUE",1180,True
170,1,1,29,29,encode,57,SPACE,"YELLOW",1348,True
170,1,1,30,30,encode,57,SPACE,"BLUE",1227,True
170,1,1,31,31,encode,57,SPACE,"GREEN",1240,True
170,1,1,32,32,encode,57,SPACE,"RED",1070,True
170,1,1,33,33,encode,57,SPACE,"YELLOW",1369,True
170,1,1,34,34,encode,57,SPACE,"RED",1167,True
170,1,1,35,35,encode,57,SPACE,"YELLOW",1231,True
170,1,1,36,36,encode,57,SPACE,"BLUE",1148,True
