Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct
182,1,1,1,1,encode,57,SPACE,"press spacebar to start practice",16737,True
182,1,1,2,2,encode,57,SPACE,"YELLOW",2012,True
182,1,1,3,3,encode,57,SPACE,"BLUE",1419,True
182,1,1,4,4,encode,57,SPACE,"RED",1073,True
182,1,1,5,5,encode,57,SPACE,"GREEN",1268,True
182,1,1,6,6,encode,57,SPACE,"RED",976,True
182,1,1,7,7,encode,57,SPACE,"BLUE",1144,True
182,1,1,8,8,encode,57,SPACE,"GREEN",873,True
182,1,1,9,9,encode,57,SPACE,"BLUE",949,True
182,1,1,10,10,encode,57,SPACE,"GREEN",998,True
182,1,1,11,11,encode,57,SPACE,"YELLOW",917,True
182,1,1,12,12,encode,57,SPACE,"END",38364,True
182,1,1,13,13,encode,57,SPACE,"press spacebar to start task",1227,True
182,1,1,14,14,encode,57,SPACE,"GREEN",1198,True
182,1,1,15,15,encode,57,SPACE,"BLUE",1269,True
182,1,1,16,16,encode,57,SPACE,"BLUE",1016,True
182,1,1,17,17,encode,57,SPACE,"YELLOW",1166,True
182,1,1,18,18,encode,57,SPACE,"BLUE",997,True
182,1,1,19,19,encode,57,SPACE,"BLUE",949,True
182,1,1,20,20,encode,57,SPACE,"RED",1269,True
182,1,1,21,21,encode,57,SPACE,"RED",945,True
182,1,1,22,22,encode,57,SPACE,"RED",1017,True
182,1,1,23,23,encode,57,SPACE,"RED",903,True
182,1,1,24,24,encode,57,SPACE,"BLUE",1010,True
182,1,1,25,25,encode,57,SPACE,"YELLOW",959,True
182,1,1,26,26,encode,57,SPACE,"GREEN",942,True
182,1,1,27,27,encode,57,SPACE,"YELLOW",1024,True
182,1,1,28,28,encode,57,SPACE,"BLUE",925,True
182,1,1,29,29,encode,57,SPACE,"YELLOW",974,True
182,1,1,30,30,encode,57,SPACE,"BLUE",1054,True
182,1,1,31,31,encode,57,SPACE,"GREEN",1010,True
182,1,1,32,32,encode,57,SPACE,"RED",911,True
182,1,1,33,33,encode,57,SPACE,"YELLOW",970,True
182,1,1,34,34,encode,57,SPACE,"RED",898,True
182,1,1,35,35,encode,57,SPACE,"YELLOW",964,True
182,1,1,36,36,encode,57,SPACE,"BLUE",1084,True
182,1,1,37,37,encode,57,SPACE,"BLUE",895,True
182,1,1,38,38,encode,57,SPACE,"YELLOW",1010,True
182,1,1,39,39,encode,57,SPACE,"YELLOW",1120,True
182,1,1,40,40,encode,57,SPACE,"GREEN",1066,True
182,1,1,41,41,encode,57,SPACE,"YELLOW",1268,True
182,1,1,42,42,encode,57,SPACE,"BLUE",1128,True
182,1,1,43,43,encode,57,SPACE,"GREEN",1025,True
182,1,1,44,44,encode,57,SPACE,"RED",951,True
182,1,1,45,45,encode,57,SPACE,"GREEN",880,True
182,1,1,46,46,encode,57,SPACE,"YELLOW",971,True
182,1,1,47,47,encode,57,SPACE,"RED",851,True
182,1,1,48,48,encode,57,SPACE,"GREEN",871,True
182,1,1,49,49,encode,57,SPACE,"YELLOW",954,True
182,1,1,50,50,encode,57,SPACE,"RED",962,True
182,1,1,51,51,encode,57,SPACE,"YELLOW",1219,True
182,1,1,52,52,encode,57,SPACE,"GREEN",864,True
182,1,1,53,53,encode,57,SPACE,"RED",900,True
182,1,1,54,54,encode,57,SPACE,"RED",887,True
182,1,1,55,55,encode,57,SPACE,"GREEN",946,True
182,1,1,56,56,encode,57,SPACE,"BLUE",881,True
182,1,1,57,57,encode,57,SPACE,"RED",942,True
182,1,1,58,58,encode,57,SPACE,"GREEN",958,True
182,1,1,59,59,encode,57,SPACE,"RED",1655,True
182,1,1,60,60,encode,57,SPACE,"YELLOW",1497,True
182,1,1,61,61,encode,57,SPACE,"YELLOW",1229,True
182,1,1,62,62,encode,57,SPACE,"GREEN",1097,True
182,1,1,63,63,encode,57,SPACE,"YELLOW",1069,True
182,1,1,64,64,encode,57,SPACE,"GREEN",1136,True
182,1,1,65,65,encode,57,SPACE,"YELLOW",1024,True
182,1,1,66,66,encode,57,SPACE,"GREEN",1021,True
182,1,1,67,67,encode,57,SPACE,"BLUE",955,True
182,1,1,68,68,encode,57,SPACE,"GREEN",1234,True
182,1,1,69,69,encode,57,SPACE,"GREEN",1025,True
182,1,1,70,70,encode,57,SPACE,"YELLOW",1132,True
182,1,1,71,71,encode,57,SPACE,"RED",1447,True
182,1,1,72,72,encode,57,SPACE,"YELLOW",1098,True
182,1,1,73,73,encode,57,SPACE,"GREEN",1205,True
182,1,1,74,74,encode,57,SPACE,"YELLOW",1243,True
182,1,1,75,75,encode,57,SPACE,"BLUE",1040,True
182,1,1,76,76,encode,57,SPACE,"BLUE",1005,True
182,1,1,77,77,encode,57,SPACE,"GREEN",979,True
182,1,1,78,78,encode,57,SPACE,"RED",1225,True
182,1,1,79,79,encode,57,SPACE,"YELLOW",975,True
182,1,1,80,80,encode,57,SPACE,"BLUE",1222,True
182,1,1,81,81,encode,57,SPACE,"RED",1180,True
182,1,1,82,82,encode,57,SPACE,"RED",1642,True
182,1,1,83,83,encode,0,,"",0,False
