Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct
136,1,1,1,1,encode,57,SPACE,"press spacebar to start practice",9315,True
136,1,1,2,2,encode,57,SPACE,"YELLOW",1351,True
136,1,1,3,3,encode,57,SPACE,"BLUE",1232,True
136,1,1,4,4,encode,57,SPACE,"RED",941,True
136,1,1,5,5,encode,57,SPACE,"GREEN",951,True
136,1,1,6,6,encode,57,SPACE,"RED",807,True
136,1,1,7,7,encode,57,SPACE,"BLUE",1055,True
136,1,1,8,8,encode,57,SPACE,"GREEN",860,True
136,1,1,9,9,encode,57,SPACE,"BLUE",912,True
136,1,1,10,10,encode,57,SPACE,"GREEN",858,True
136,1,1,11,11,encode,57,SPACE,"YELLOW",823,True
136,1,1,12,12,encode,57,SPACE,"END",2388,True
136,1,1,13,13,encode,57,SPACE,"press spacebar to start task",6761,True
136,1,1,14,14,encode,57,SPACE,"GREEN",1198,True
136,1,1,15,15,encode,57,SPACE,"BLUE",988,True
136,1,1,16,16,encode,57,SPACE,"BLUE",1018,True
136,1,1,17,17,encode,57,SPACE,"YELLOW",992,True
136,1,1,18,18,encode,57,SPACE,"BLUE",974,True
136,1,1,19,19,encode,57,SPACE,"BLUE",950,True
136,1,1,20,20,encode,57,SPACE,"RED",1119,True
136,1,1,21,21,encode,57,SPACE,"RED",992,True
136,1,1,22,22,encode,57,SPACE,"RED",1039,True
136,1,1,23,23,encode,57,SPACE,"RED",996,True
136,1,1,24,24,encode,57,SPACE,"BLUE",1034,True
136,1,1,25,25,encode,57,SPACE,"YELLOW",1008,True
136,1,1,26,26,encode,57,SPACE,"GREEN",966,True
136,1,1,27,27,encode,57,SPACE,"YELLOW",933,True
136,1,1,28,28,encode,57,SPACE,"BLUE",927,True
136,1,1,29,29,encode,57,SPACE,"YELLOW",921,True
136,1,1,30,30,encode,57,SPACE,"BLUE",954,True
136,1,1,31,31,encode,57,SPACE,"GREEN",914,True
136,1,1,32,32,encode,57,SPACE,"RED",957,True
136,1,1,33,33,encode,57,SPACE,"YELLOW",940,True
136,1,1,34,34,encode,57,SPACE,"RED",982,True
136,1,1,35,35,encode,57,SPACE,"YELLOW",1276,True
136,1,1,36,36,encode,57,SPACE,"BLUE",1023,True
136,1,1,37,37,encode,57,SPACE,"BLUE",893,True
136,1,1,38,38,encode,57,SPACE,"YELLOW",960,True
136,1,1,39,39,encode,57,SPACE,"YELLOW",904,True
136,1,1,40,40,encode,57,SPACE,"GREEN",810,True
136,1,1,41,41,encode,57,SPACE,"YELLOW",896,True
136,1,1,42,42,encode,57,SPACE,"BLUE",859,True
136,1,1,43,43,encode,57,SPACE,"GREEN",783,True
136,1,1,44,44,encode,57,SPACE,"RED",863,True
136,1,1,45,45,encode,57,SPACE,"GREEN",762,True
136,1,1,46,46,encode,57,SPACE,"YELLOW",723,True
136,1,1,47,47,encode,57,SPACE,"RED",756,True
136,1,1,48,48,encode,57,SPACE,"GREEN",797,True
136,1,1,49,49,encode,57,SPACE,"YELLOW",804,True
136,1,1,50,50,encode,57,SPACE,"RED",818,True
136,1,1,51,51,encode,57,SPACE,"YELLOW",767,True
136,1,1,52,52,encode,57,SPACE,"GREEN",776,True
136,1,1,53,53,encode,57,SPACE,"RED",815,True
136,1,1,54,54,encode,57,SPACE,"RED",869,True
136,1,1,55,55,encode,57,SPACE,"GREEN",776,True
136,1,1,56,56,encode,57,SPACE,"BLUE",1120,True
136,1,1,57,57,encode,57,SPACE,"RED",865,True
136,1,1,58,58,encode,57,SPACE,"GREEN",1229,True
136,1,1,59,59,encode,57,SPACE,"RED",1153,True
136,1,1,60,60,encode,57,SPACE,"YELLOW",1009,True
136,1,1,61,61,encode,57,SPACE,"YELLOW",975,True
136,1,1,62,62,encode,57,SPACE,"GREEN",919,True
136,1,1,63,63,encode,57,SPACE,"YELLOW",1119,True
136,1,1,64,64,encode,57,SPACE,"GREEN",1105,True
136,1,1,65,65,encode,57,SPACE,"YELLOW",795,True
136,1,1,66,66,encode,57,SPACE,"GREEN",882,True
136,1,1,67,67,encode,57,SPACE,"BLUE",813,True
136,1,1,68,68,encode,57,SPACE,"GREEN",788,True
136,1,1,69,69,encode,57,SPACE,"GREEN",770,True
136,1,1,70,70,encode,57,SPACE,"YELLOW",817,True
136,1,1,71,71,encode,57,SPACE,"RED",1015,True
136,1,1,72,72,encode,57,SPACE,"YELLOW",709,True
