Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,89,89.01,encode,57,SPACE,BLUE,1088,TRUE,146620,32,49,BLUE,1116,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,90,90.01,encode,57,SPACE,RED,1443,TRUE,147886,33,49,RED,1467,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,91,91.01,encode,57,SPACE,RED,1104,TRUE,149503,33,49,RED,1133,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,92,92.01,encode,57,SPACE,YELLOW,1193,TRUE,150787,32,49,YELLOW,1216,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,93,93.01,encode,57,SPACE,RED,1128,TRUE,152153,32,49,RED,1150,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,94,94.01,encode,57,SPACE,GREEN,1025,TRUE,153453,32,49,GREEN,1050,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,95,95.01,encode,57,SPACE,RED,943,TRUE,154653,32,49,RED,967,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,96,96.01,encode,57,SPACE,GREEN,943,TRUE,155770,32,49,GREEN,967,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,97,97.01,encode,57,SPACE,YELLOW,968,TRUE,156886,33,49,YELLOW,1000,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,98,98.01,encode,57,SPACE,BLUE,918,TRUE,158037,32,49,BLUE,950,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,99,99.01,encode,57,SPACE,BLUE,985,TRUE,159136,33,49,BLUE,1017,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,100,100.01,encode,57,SPACE,GREEN,960,TRUE,160303,33,49,GREEN,984,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,101,101.01,encode,57,SPACE,GREEN,1071,TRUE,161437,31,49,GREEN,1100,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,102,102.01,encode,57,SPACE,YELLOW,946,TRUE,162687,31,49,YELLOW,966,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,103,103.01,encode,57,SPACE,RED,819,TRUE,163803,33,49,RED,850,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,104,104.01,encode,57,SPACE,YELLOW,993,TRUE,164803,33,49,YELLOW,1017,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,105,105.01,encode,57,SPACE,RED,1176,TRUE,165970,32,49,RED,1200,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,106,106.01,encode,57,SPACE,YELLOW,975,TRUE,167320,32,49,YELLOW,1000,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,107,107.01,encode,57,SPACE,GREEN,1405,TRUE,168470,32,49,GREEN,1434,blacksquare.bmp,100
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,108,108.01,encode,57,SPACE,RED,1060,TRUE,170053,33,49,RED,1083,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,109,109.01,encode,57,SPACE,YELLOW,992,TRUE,171287,32,49,YELLOW,1016,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,110,110.01,encode,57,SPACE,BLUE,1071,TRUE,172454,32,48,BLUE,1100,blacksquare.bmp,102
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,111,111.01,encode,57,SPACE,GREEN,1186,TRUE,173704,32,48,GREEN,1217,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,112,112.01,encode,57,SPACE,BLUE,833,TRUE,175070,32,49,BLUE,850,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,113,113.01,encode,57,SPACE,RED,1326,TRUE,176070,32,49,RED,1350,blacksquare.bmp,101
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,114,114.01,encode,57,SPACE,END,2822,TRUE,177570,32,49,END,2850,blacksquare.bmp,101
