2,0,0,0,0,0,0,0,0.25,0,0,0.02,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.17,0,0,0,0,0.06,0,0,0,0.25,0,0,2
4,0,0,0,0,0.05,0.2,0.25,0,0.23,0,0,0.17,0.07,0,0.25,0,0.25,0,0,0.25,0.12,0.13,0.25,0,0,0,0.23,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,3
6,0,0.08,0.02,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.06,0,0,0,6
7,0.13,0,0.25,0,0.08,0.17,0,0.25,0,0,0.01,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,7
9,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0.14,0,0,0.25,0,0,0.25,0,0.25,0,0.25,0,0.15,0,0,0,0.2,0,1
12,0.25,0,0,0.08,0,0,0,0,0.1,0,0.18,0.07,0,0,0,0,0.25,0,0.21,0,0.25,0,0,0,0,0,0.12,0,0,0,0,0,0.25,0,0,0.13,0,0,0,0.25,4
13,0.11,0.14,0,0,0.18,0,0,0,0.25,0,0.13,0,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0,0,0,0,0,0.25,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,5
14,0,0,0,0,0,0,0.06,0,0,0.25,0,0,0.25,0,0.25,0,0,0.25,0.23,0,0,0,0,0,0,0,0.25,0,0.08,0,0,0,0,0,0.15,0,0.01,0.23,0.08,0,6
15,0,0,0.25,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,7
16,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
17,0.19,0,0,0,0.13,0.12,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.03,0,0,0.25,0,0,0,0.02,0,0,0,0.25,0,0,0,0,1
18,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
20,0,0,0,0,0.25,0,0.13,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.11,0,0,0,0.25,0,0,0,0,0.11,4
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.12,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.03,7
23,0,0,0,0,0,0.25,0,0,0,0.05,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,7
24,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
27,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0.02,0.08,0,0,0.25,0,0,0.25,3
28,0,0,0,0,0,0,0,0,0.13,0.12,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0.25,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
30,0,0.25,0,0,0.19,0,0.21,0,0,0,0,0,0.06,0,0,0.13,0.1,0,0,0,0.17,0,0,0,0,0,0.08,0,0.21,0,0,0,0.06,0,0,0,0,0,0,0,6
31,0.25,0,0.25,0,0,0,0.22,0,0.25,0,0,0,0,0,0.12,0,0,0,0.25,0,0.13,0.12,0,0,0,0,0,0,0,0,0,0,0.22,0.03,0,0,0,0,0,0,7
