1,-,-,-,-,-,-,-,-,-,0.85,-,-,0.55,0.33,-,-,-,-,0.51,0.49,0.52,-,-,-,-,-,-,-,0.52,-,0.51,-,-,-,-,0.02,-,-,-,-
2,-,-,-,-,-,-,0.5,0.12,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,0.42,0.2,-,-,0.54,-,-,-,0.2,-,-,-
4,-,-,-,0.97,1,-,0.77,-,-,-,-,1,1,-,1,-,1,-,0.57,0.43,0.43,0.57,1,-,-,-,0.3,-,0.3,0.7,0.01,0.78,0.92,0.08,0.14,-,0.26,0.74,0.86,-
6,0.48,0.52,0.49,-,0,-,0.02,-,-,-,0.05,-,0.43,-,-,-,0.12,-,-,-,0.56,-,-,0.1,0.17,-,-,-,-,-,-,-,0.79,0.21,-,-,-,-,-,-
7,-,-,0.7,-,1,-,-,1,-,-,-,-,0.02,-,0.68,-,-,-,-,-,-,-,-,-,-,0.23,-,-,0,-,-,-,-,-,-,-,-,-,-,-
9,0.33,0.07,-,-,0.08,-,-,0.56,-,1,-,0.47,-,-,-,-,0.12,0.45,0.41,-,-,-,0.73,-,-,0.75,-,-,0.73,-,0.5,-,0.83,-,0.15,-,-,-,0.71,-
12,0.98,-,-,0.17,-,-,-,-,0.08,-,0.12,0.88,0.13,-,-,-,0.88,-,-,-,0.18,-,-,-,-,-,0.15,-,-,-,-,-,1,-,0.49,0.05,-,-,0.29,0.2
13,1,-,-,-,-,-,-,-,1,-,0.7,-,0.27,-,0.1,0.9,1,-,0.74,0.26,0.14,0.47,-,-,-,-,0.18,-,-,0.37,-,-,0,-,-,-,-,-,-,-
14,0.68,-,-,-,-,-,-,-,-,-,-,-,0.4,-,0.36,0.12,0.35,0.18,0.5,-,-,-,-,-,0.11,-,0.2,-,0.06,-,-,-,-,-,-,-,0.49,0.13,0.41,-
15,-,-,0.63,-,-,-,-,-,0.25,0.68,-,-,-,-,-,-,-,-,-,-,0.28,-,-,-,0.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.03,0.07,-,-,0.12,-,-,-,-,-,-,-,-,-,-,-
17,-,-,-,-,1,-,0.06,0.1,0.07,0.34,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0.03,0.4,-,0.01,-,-,-,-,-,-,-,0.19,-,-,-,-
18,-,-,-,-,-,-,0.28,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.1,0.32,-,-,-,-
20,-,-,-,0.6,1,-,0.32,-,-,-,-,-,0.46,-,0.61,0.19,-,-,-,-,-,-,0.87,-,-,-,-,-,-,-,0.31,-,-,-,0.9,-,-,-,-,-
21,1,-,1,-,0.19,-,1,-,0.89,0.11,0.79,-,0.7,-,-,-,-,-,1,0,0.99,-,0.52,0.48,1,-,-,-,-,-,-,0.54,1,-,1,-,0.58,-,-,1
22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.55,-,-,-,0.82,-,-,-,-,-,-,-,-,-,-,0.07,-,-,-,-,-,0.08,-,0.38,-
23,-,-,-,-,-,0.42,-,-,0.5,0.27,-,-,-,-,0.54,-,-,-,0.33,-,0.67,0.1,-,-,0.36,-,-,-,0.5,-,-,-,0.54,-,0.68,0.02,-,-,-,-
24,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,-,-,-,-,-,-,0.3,-,-,-,-,-,-,-,-,-,0.75,-,-,-,-,-,0.19,-,-,-,-,-,1,-,1,-,-,-,0,1,0.74,0.26
28,-,-,-,-,-,-,-,-,-,0.03,-,-,-,0.85,-,-,-,0.1,-,-,-,-,0.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,0.5,0.1,-,-,-,-,-,-,0.24,-,-,-,-,-,-,0.58,0.05,-,0.53,-,-,-,-,-,-,0.39,0.8,-,-,-,-,-,-,-,-,-,-,0.62,-,-
31,0.18,-,0.84,-,-,-,0.13,-,0.77,-,-,-,-,-,-,-,-,-,0.64,-,0.53,-,-,-,-,-,-,-,-,-,-,-,0.23,0.77,-,-,-,-,-,-
32,-,1,0.39,0.27,0.72,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
