23,2.87,2.99,2.85,2.8,2.98,2.99,2.12,0.5,2.99,2.72,
24,2.79,2.89,1.88,2.09,2.99,2.5,2.7,2.98,2.99,2.39,
26,0.55,-,1.18,0.67,2.25,1.83,0.82,0.25,2.07,0.75,
27,-,-,0.96,-,2.3,1.28,-,-,1.43,2.34,
28,2.79,2.99,1.89,2.59,2.99,2.98,2.98,1.94,2.73,1.49,
30,1.6,2.11,0.47,-,1.65,1.6,1.67,-,0.77,2.21,
31,2.23,1.69,2.91,1,2.87,2.99,2.57,2.51,2.86,2.59,
32,2.99,2.82,2.94,2.41,1.83,2.76,1.18,2.81,1.93,2.37,
33,2.67,1.16,2.47,1.82,1.16,1.62,0.69,1.12,1.96,2.65,
34,1.92,1.69,1.71,1.93,2.98,2.78,2.98,2.31,1.49,1.83,
35,1.6,1.9,2.07,1.31,1.12,1.03,1.77,2.26,2.1,0.21,
36,2.81,2.99,1.39,2.74,2.98,1.59,2.94,2.75,1.27,2.98,
37,0.8,1.2,-,1.34,1.62,0.88,0.37,1.57,0.32,-,
38,2.98,1.95,2.98,1.9,2.98,2.77,2.4,2.76,2.54,-,
39,1.11,0.37,0.2,2.75,1.63,2.44,1.47,-,1.53,2.99,
40,0.75,2.42,2.2,1.63,2.04,1.96,1.73,2.46,1.73,1.2,
41,2.47,2.55,1.78,2.98,0.53,1.61,1.24,0.53,0.98,2.48,
42,2.77,2.14,2.98,2.58,2.7,1.48,2.61,2.56,2.75,1.17,-
43,2.7,0.3,1.16,2.68,2.97,1.5,2.31,0.27,2.99,2.8,
44,2.77,2.32,2.98,1.38,2.2,2.42,-,1.36,2.64,2.25,
45,0.8,2.83,2.99,2.31,1.52,1.8,2.31,2.09,2.83,1.67,
46,2.98,2.41,1.92,2.98,2.98,2.98,2.76,2.98,2.38,2.84,
47,no data,,,,,,,,,,
48,1.46,2.99,2.62,2.53,2.56,-,2.48,2.77,2.59,0.8,
49,1.33,1.17,2.98,2.43,2.97,1.7,0.77,2.67,2.8,2.41,
50,2.99,2.83,2.97,2.98,2.98,2.98,2.98,2.06,2.98,2.98,
