69,-,1,1,-,0.7,-,1,-,0.15,0.85,0.31,0.69
70,-,0.78,-,-,-,-,-,-,-,-,-,-
72,0.28,-,0.33,0.67,-,0.65,0.46,-,0.4,-,0.5,0.5
73,0.19,0.81,0.8,0.2,-,0.34,-,-,0.58,0.28,-,-
74,0.55,0.33,-,-,-,-,-,0.69,-,-,-,-
75,-,0.18,0.41,0.06,-,0.13,-,0.78,-,-,-,-
76,-,0.58,-,-,0.35,0.65,0.53,0.47,0.18,-,-,-
77,-,0.3,0.79,-,-,-,-,0.77,-,1,-,-
78,0.63,0.37,-,0.28,-,1,-,-,0.65,0.2,-,0.01
79,0.51,0.49,-,-,-,-,-,1,0.34,0.54,-,-
80,0.27,0.03,-,-,-,-,,,,,,
81,0.84,0.16,1,-,0.19,0.81,,,,,,
83,-,1,-,1,-,0.87,,,,,,
87,0.67,0.1,0.73,-,-,0.62,,,,,,
89,-,-,-,-,-,-,,,,,,
90,-,0.09,-,1,0.58,0.42,,,,,,
91,-,1,0.92,0.08,0.34,0.66,,,,,,
93,0.38,0.29,1,-,0.33,0.55,,,,,,
95,0.01,0.99,0.43,0.57,1,-,-,1,-,0.11,-,1
98,-,1,-,0.42,-,1,0.07,0.93,0.18,0.58,-,1
101,1,-,0.09,0.38,0.02,-,-,-,-,-,0.02,0.98
97,-,0.58,0.6,0.4,-,0.5,-,1,1,-,-,-
102,0.1,0.9,-,0.67,0.81,0.19,0.78,0.22,1,-,0.1,0.9
103,1,-,-,1,-,-,0.1,0.7,0.19,-,1,-
P96,0.64,0.36,-,0.45,-,-,0.17,0.83,0.63,0.37,-,-
