29,4.83,4.17,-,0.8,1.35,0.4,0.85,0.07,0.53,-,1.66,1.87,0.1,1.87,,,,,,,,,,,,,,
30,3.79,5.23,3.75,1.82,3.11,2.28,4.08,1.21,2.62,1.78,4.16,1.4,2.46,1.39,,,,,,,,,,,,,,
31,3.2,1.62,0.74,0.4,1.1,0.58,1.84,0.3,1.73,1.16,5.09,0.74,2.93,2.26,,,,,,,,,,,,,,
32,1.71,5.58,2.65,3.35,2.61,0.87,2.53,2.92,1.32,1.12,3.76,1.38,1.78,2.04,,,,,,,,,,,,,,
33,1.71,2.94,2.1,1.22,0.73,1.19,3.1,0.62,1.17,0.17,2.73,-,0.02,0.8,,,,,,,,,,,,,,
34,-,-,-,-,-,-,-,-,2.76,-,-,0.16,0.22,0.15,,,,,,,,,,,,,,
35,4.69,5.13,3.75,1.73,4.41,1.59,4.61,0.45,3.99,0.33,4.83,1.17,2.78,3.22,,,,,,,,,,,,,,
36,5.56,3.93,3.76,1.48,0.28,2.64,2.75,2.47,2.66,0.82,3.76,1.75,3.11,1.32,,,,,,,,,,,,,,
37,1.16,0.48,1.18,1.35,0.68,1.5,-,0.6,0.02,0.02,0.08,-,-,-,,,,,,,,,,,,,,
38,4.48,4.21,1.98,1.27,0.58,1.2,2.73,0.85,0.47,0.78,2.84,1.15,0.22,0.7,,,,,,,,,,,,,,
39,-,-,-,-,-,0.02,-,0.2,0.02,-,-,-,1.45,0.13,,,,,,,,,,,,,,
40,2.88,1.07,0.58,0.12,0.15,0.07,-,-,4.23,0.52,1.18,1.18,1.58,1.25,,,,,,,,,,,,,,
41,3,0.92,1.97,0.45,0.11,0.33,-,1.05,2.15,0.48,2.33,2.11,1.22,1.37,,,,,,,,,,,,,,
42,2.18,2.78,4.38,1.02,3.17,2.05,2.48,3.08,2.13,1.77,2.61,0.71,3.51,2.07,,,,,,,,,,,,,,
43,3.03,2.55,2.07,1.98,0.2,3.35,4.14,1.42,4.54,1.46,5.16,0.84,3.65,2.35,,,,,,,,,,,,,,
44,2.9,3.47,2.2,1.55,1.43,1.08,1.62,-,0.27,0.15,1.68,-,0.4,0.08,,,,,,,,,,,,,,
45,2.49,3.78,3.71,1.97,4.45,1.22,3.73,1.12,4.63,0.75,4.08,1.27,3.8,1.82,,,,,,,,,,,,,,
46,3.51,3.62,3.45,2.55,4.89,1.11,3.24,2.76,3.13,1.82,4.32,1.15,5.05,0.54,,,,,,,,,,,,,,
47,1.28,2.93,3.64,1.07,4.57,0.9,4.87,1.13,3.51,0.54,5.04,0.68,0.77,4.93,,,,,,,,,,,,,,
48,5.69,5.59,2.9,3.1,4.49,1.23,3.98,2.02,3.53,2,4.43,1.15,3.87,2.13,,,,,,,,,,,,,,
49,4.82,5.66,1.57,4.43,0.68,1.6,1.89,1.96,4.18,0.63,2.61,2.3,3.96,0.4,,,,,,,,,,,,,,
50,5.29,5.77,2.49,3.51,0.17,0.25,0.82,4.87,0.62,0.63,3.82,1.58,2.59,3.41,,,,,,,,,,,,,,
51,4.15,3.53,0.4,0.46,-,-,4.6,0.57,-,-,1.9,1.93,0.25,-,,,,,,,,,,,,,,
52,3.93,3.67,4.59,1.15,0.35,5.11,3.46,1.89,5.05,0.28,3.93,0.98,2.95,2.1,,,,,,,,,,,,,,
53,2.63,3.33,2.18,1.53,4.75,0.83,2.62,1.48,-,-,-,-,1.5,0.22,,,,,,,,,,,,,,
54,5.27,2.23,0.98,1.07,-,0.2,0.44,0.62,0.58,0.12,4.84,0.25,1.71,0.62,,,,,,,,,,,,,,
55,5.09,5.09,1.98,3.66,1.03,0.32,1.38,3.2,1.06,-,2.96,1.82,0.8,2.07,,,,,,,,,,,,,,
56,3.91,5.32,2.94,2.65,1.86,3.63,3.59,1.73,3.49,1.78,3.63,1.88,2.71,2.91,,,,,,,,,,,,,,
57,3.29,1.86,2.58,2.26,-,-,-,-,-,-,-,-,0.02,-,,,,,,,,,,,,,,
58,3.2,-,3.83,1.75,-,2.02,1.3,0.41,4.45,0.88,4.27,0.57,0.43,2.64,,,,,,,,,,,,,,
59,5.4,4.61,2.81,2.93,3.97,1.67,2.5,2.56,5.72,-,4.06,0.95,1.08,4.59,,,,,,,,,,,,,,
60,-,-,-,-,-,0.1,-,-,-,0.4,4.16,0.45,4.21,1.08,,,,,,,,,,,,,,
61,2.08,-,0.24,0.07,-,-,-,-,-,-,0.27,-,-,-,,,,,,,,,,,,,,
62,0.23,0.21,1.29,0.25,3.54,0.26,1.18,0.29,0.9,0.3,0.72,0.3,0.27,2.18,3.27,3.97,4.71,1.05,1.24,2.13,4.56,0.72,3.45,1.45,4.62,1.08,1.07,1.93
61,2.08,-,0.24,0.07,-,-,-,-,-,-,0.27,-,-,-,,,,,,,,,,,,,,
62,3.27,3.97,4.71,1.05,1.24,2.13,4.56,0.72,3.45,1.45,4.62,1.08,1.07,1.93,,,,,,,,,,,,,,
63,5.73,5.72,2.91,2.73,-,5.64,2.5,3.16,5.68,-,3.71,1.89,5.25,-,,,,,,,,,,,,,,
64,4.48,3.42,2.03,3.44,2.79,2.41,3.56,1.05,5.41,-,3.45,1.67,3.14,1.95,,,,,,,,,,,,,,
65,2.91,2.05,2.33,3.11,0.81,4.98,2.89,2.83,5.71,0,4.42,1.3,3.31,2.43,,,,,,,,,,,,,,
66,5.31,4.98,3.75,1.33,4.51,0.82,3.66,1.72,3.93,0.55,4.48,0.68,2.77,2.55,,,,,,,,,,,,,,
67,1.52,4.68,3.78,1.93,4.27,1.5,2.93,2.45,5.53,-,4.58,1.02,4,1.11,,,,,,,,,,,,,,
68,3.38,3.85,2.62,2.2,2.67,3.1,2.95,2.71,3.94,1.68,5.17,0.52,1.06,4.51,,,,,,,,,,,,,,
69,4.32,5.01,3.5,2.05,3.91,1.25,4.31,1.12,4.42,-,3.84,0.55,2.81,2,,,,,,,,,,,,,,
70,1.67,-,3.71,0.86,1.9,1.88,1.97,1.97,0.03,0.05,4.01,0.67,1.41,0.5,,,,,,,,,,,,,,
71,5.31,5.1,1.83,3.85,3.46,1.78,2.05,2.26,2.08,2.06,2.43,2.63,1.73,3.81,,,,,,,,,,,,,,
72,2.63,3.18,1.75,1.43,0.95,1.98,3.02,2.35,4.53,0.93,3.6,1.98,2.75,1.78,,,,,,,,,,,,,,
72,3.88,2.3,2.73,2.95,4.57,0.48,3.75,1.03,5.15,0.47,2.78,2.4,0.82,4.03,,,,,,,,,,,,,,
73,3.4,2.45,2.43,1.72,2.51,3.21,2.69,2.43,5.44,-,4.11,1.52,2.47,2.41,,,,,,,,,,,,,,
74,4.31,5.63,2.38,3.38,4.12,1.68,2.29,2.81,2,0.65,1.12,1.73,3.45,1.05,,,,,,,,,,,,,,
75,3.5,2.66,1.57,0.12,0.3,1.13,0.95,0.22,2.25,0.65,2.1,0.93,1.12,0.05,,,,,,,,,,,,,,
76,3.41,3.53,3.46,1.55,3.13,1.12,1.72,0.5,1.14,0.17,1.48,0.57,3,2.7,,,,,,,,,,,,,,
76,-,0.67,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
76,2.31,4.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
77,5.76,5.47,2.35,3.4,2.43,1.25,4.43,1.31,1.95,1.07,3.63,0.52,3.31,2.46,,,,,,,,,,,,,,
78,5.62,5.73,3.86,1.79,2.68,2.83,4.31,0.35,5.06,0.64,3.08,2.6,2.81,2.79,,,,,,,,,,,,,,
79,4.86,5.1,2.87,1.83,2.27,0.39,4.67,0.82,4.36,0.42,0.22,2.61,0.67,2.13,,,,,,,,,,,,,,
80,5.55,4.55,2.98,2.64,1,3.05,4.72,0.88,1.45,1.58,4.87,0.28,2,1.82,,,,,,,,,,,,,,
81,2.95,3.59,3.66,0.88,5.52,-,2.48,1.58,2.38,1.1,0.83,0.58,3.09,2.43,,,,,,,,,,,,,,
82,1.04,3.35,1.18,2.07,1.65,3.68,-,0.78,2.58,2.6,1.72,3.11,0.32,-,,,,,,,,,,,,,,
83,5.79,4.15,4.15,1.6,1.3,0.93,3.34,2.4,0.45,0.13,4.41,0.84,0.63,0.08,,,,,,,,,,,,,,
84,-,2.02,0.25,-,-,-,-,0.83,0.77,0.33,2.24,0.4,0.47,1.73,,,,,,,,,,,,,,
85,4.96,3.94,-,-,-,-,-,-,0.8,0.57,3.08,0.77,0.97,3.23,,,,,,,,,,,,,,
86,5.12,5.81,4.13,1.43,2.07,3.7,5,0.52,5.46,-,3.55,1.28,5.57,-,,,,,,,,,,,,,,
87,5.38,5.15,2.54,2.73,1.53,0.65,2.1,2.78,2.87,0.42,2.7,2.19,4.58,0.4,,,,,,,,,,,,,,
88,3.8,2.08,1.77,2.57,4.2,1.3,4.3,1.07,3.2,0.26,3.32,0.2,1.08,2.86,,,,,,,,,,,,,,
89,3.54,1.57,3.15,0.55,2.2,3.25,5.05,0.5,3.87,1.07,3.67,1.03,4.26,1.31,,,,,,,,,,,,,,
90,5.61,5.75,1.7,3.32,1.98,1.55,2.75,2.38,1.12,1.27,3.85,1.36,1.82,1.3,,,,,,,,,,,,,,
92,0.52,5.32,2.36,3.07,3.36,2.16,1.6,2.85,3.44,2.07,4.06,1.65,3.19,1.85,,,,,,,,,,,,,,
93,5.81,4.17,2.81,2,1.67,0.23,1.78,2.21,2.77,0.42,4.14,1.33,3.3,2.41,,,,,,,,,,,,,,
95,4.78,5.28,3.76,1.53,0.55,4.91,4.58,1.1,1.77,1.32,4.66,1.06,1.7,3.28,,,,,,,,,,,,,,
96,4.05,3.05,2.2,2.65,4.23,0.75,1.57,1.45,0.53,0.42,-,-,0.3,0.68,,,,,,,,,,,,,,
97,3.71,5.25,2.23,3.46,1.09,-,2.19,2.4,2.65,0.13,3.32,0.85,1.57,2.58,,,,,,,,,,,,,,
98,5.51,5.15,4.14,1.18,5.18,0.53,-,5.78,2.66,2.33,5.4,0.31,3.11,2.29,,,,,,,,,,,,,,
99,5.63,5.05,2.66,1.02,1.97,1.73,3.16,2.22,2.67,2.68,2.08,2.28,3.46,1.66,,,,,,,,,,,,,,
100,2.76,0.35,1.78,2.54,2.39,3.26,1.19,4.63,1.4,1.06,-,-,-,-,,,,,,,,,,,,,,
101,1.5,4.25,2.61,1.77,1.42,1.22,3.48,0.78,1.35,0.67,4.55,0.43,2.4,1.78,,,,,,,,,,,,,,
103,3.96,4.05,2.85,2.08,2.15,3.3,2.07,0.81,2.6,2.08,5.35,0.12,3.94,0.82,,,,,,,,,,,,,,
