69,-,1,-,-,-,-,-,1,-,1,-,-
70,-,-,-,-,-,-,1,-,-,-,-,-
72,-,0,-,-,-,-,-,-,-,-,-,-
73,-,0.27,-,-,-,-,0.88,0.01,-,-,-,-
74,-,-,-,-,-,-,-,-,-,-,-,-
75,-,0.52,-,-,-,-,-,0.1,0.33,-,-,-
76,0.03,0.45,-,-,-,-,-,-,-,-,-,-
77,-,0.32,-,-,-,-,-,-,-,-,-,-
78,-,-,-,-,-,-,0.4,-,0.37,0.05,-,-
79,0.07,0.87,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,,,,,,
81,0.39,-,-,-,0.19,0.4,,,,,,
83,-,1,-,0.98,-,0.75,,,,,,
87,-,-,0.17,0.83,-,1,,,,,,
89,-,-,-,-,-,-,,,,,,
90,-,1,-,0.78,-,1,,,,,,
91,-,0.48,0.02,-,-,-,,,,,,
93,0.32,-,0.01,-,-,0.53,,,,,,
95,-,0.5,-,-,-,-,-,1,0.8,-,-,-
98,0.53,-,-,-,-,-,0.58,0.42,0.29,-,-,-
101,-,-,-,-,-,-,0.59,0.15,-,0.15,-,-
97,-,0.51,-,-,-,-,-,0.38,-,1,-,-
102,0.18,0.82,-,-,-,-,0.77,0.23,0.95,0.05,-,-
103,0.48,0.5,-,-,-,-,-,0.72,1,-,-,-
P96,0.24,0.25,-,-,-,-,0.38,-,0.47,0.53,-,-
