Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,Stim 3,Time 3,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,1,4.01,encode,57,SPACE,"press spacebar to start retrieval task",1249,True,36767,27,53,"press spacebar to start retrieval task",1259,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,1,2,5.01,encode,57,SPACE,"blacksquare.bmp",7610,True,38079,241,268,"jacquie_3_new.avi (402 x 288)",2999,"blacksquare.bmp",7618,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,2,6.01,retrieval,2,2,"lion_bear.bmp",2568,True,48964,347,375,"Jacquie_4.avi (402 x 288)",2999,"lion_bear.bmp",2584,"blacksquare.bmp",1031,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,2,6.02,retrieval,57,SPACE,"blacksquare.bmp",1028,True,48964,347,375,"Jacquie_4.avi (402 x 288)",2999,"lion_bear.bmp",2584,"blacksquare.bmp",1031,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,3,7.01,retrieval,1,1,"lips_ear.bmp",2867,False,55953,268,294,"Jacquie_4.avi (402 x 288)",2999,"lips_ear.bmp",2892,"blacksquare.bmp",1968,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,3,7.02,retrieval,57,SPACE,"blacksquare.bmp",1957,True,55953,268,294,"Jacquie_4.avi (402 x 288)",2999,"lips_ear.bmp",2892,"blacksquare.bmp",1968,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,4,8.01,retrieval,1,1,"shirt_cap.bmp",9281,True,64106,268,294,"Jacquie_4.avi (402 x 288)",2999,"shirt_cap.bmp",9306,"blacksquare.bmp",977,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,4,8.02,retrieval,57,SPACE,"blacksquare.bmp",972,True,64106,268,294,"Jacquie_4.avi (402 x 288)",2999,"shirt_cap.bmp",9306,"blacksquare.bmp",977,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,5,9.01,retrieval,1,1,"mouse_squirrel.bmp",1977,False,77682,241,268,"Jacquie_4.avi (402 x 288)",2999,"mouse_squirrel.bmp",1995,"blacksquare.bmp",844,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,5,9.02,retrieval,57,SPACE,"blacksquare.bmp",831,True,77682,241,268,"Jacquie_4.avi (402 x 288)",2999,"mouse_squirrel.bmp",1995,"blacksquare.bmp",844,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,6,10.01,retrieval,2,2,"scissors_brush.bmp",2519,False,83788,226,254,"Jacquie_4.avi (402 x 288)",2999,"scissors_brush.bmp",2544,"blacksquare.bmp",951,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,6,10.02,retrieval,57,SPACE,"blacksquare.bmp",944,True,83788,226,254,"Jacquie_4.avi (402 x 288)",2999,"scissors_brush.bmp",2544,"blacksquare.bmp",951,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,7,11.01,retrieval,2,2,"duck_frog.bmp",2961,False,90536,267,294,"Jacquie_4.avi (402 x 288)",2999,"duck_frog.bmp",2985,"blacksquare.bmp",1153,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,7,11.02,retrieval,57,SPACE,"blacksquare.bmp",1141,True,90536,267,294,"Jacquie_4.avi (402 x 288)",2999,"duck_frog.bmp",2985,"blacksquare.bmp",1153,
9/30/2014,12:33,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_1.csv,28,1,2,8,12.01,retrieval,1,1,"sun_tree.bmp",2424,False,97967,254,280,"Jacquie_4.avi (402 x 288)",2999,"sun_tree.bmp",2436,"blacksquare.bmp",778,
