Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2,Stim 3,Time 3,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,11,15.01,retrieval,1,1,"leg_arm.bmp",2254,False,146285,308,334,"Jacquie_4.avi (402 x 288)",2999,"leg_arm.bmp",2277,"whiteborder.bmp",1178,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,11,15.02,retrieval,57,SPACE,"whiteborder.bmp",1171,True,146285,308,334,"Jacquie_4.avi (402 x 288)",2999,"leg_arm.bmp",2277,"whiteborder.bmp",1178,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,12,16.01,retrieval,1,1,"flower_leaf.bmp",1705,False,153073,282,308,"Jacquie_4.avi (402 x 288)",2999,"flower_leaf.bmp",1728,"blacksquare.bmp",1258,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,12,16.02,retrieval,57,SPACE,"blacksquare.bmp",1255,True,153073,282,308,"Jacquie_4.avi (402 x 288)",2999,"flower_leaf.bmp",1728,"blacksquare.bmp",1258,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,13,17.01,retrieval,1,1,"hair_hat.bmp",3619,True,159366,214,241,"Jacquie_4.avi (402 x 288)",2999,"hair_hat.bmp",3641,"blacksquare.bmp",1795,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,13,17.02,retrieval,57,SPACE,"blacksquare.bmp",1789,True,159366,214,241,"Jacquie_4.avi (402 x 288)",2999,"hair_hat.bmp",3641,"blacksquare.bmp",1795,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,14,18.01,retrieval,1,1,"watermelon_orange.bmp",9250,False,168042,1245,1272,"Jacquie_4.avi (402 x 288)",2999,"watermelon_orange.bmp",9264,"blacksquare.bmp",1059,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,14,18.02,retrieval,57,SPACE,"blacksquare.bmp",1056,True,168042,1245,1272,"Jacquie_4.avi (402 x 288)",2999,"watermelon_orange.bmp",9264,"blacksquare.bmp",1059,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,15,19.01,retrieval,1,1,"ball_drum.bmp",2047,True,182636,307,334,"Jacquie_4.avi (402 x 288)",2999,"ball_drum.bmp",2061,"blacksquare.bmp",4781,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,15,19.02,retrieval,57,SPACE,"blacksquare.bmp",4779,True,182636,307,334,"Jacquie_4.avi (402 x 288)",2999,"ball_drum.bmp",2061,"blacksquare.bmp",4781,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,16,20.01,retrieval,1,1,"garbagecan_box.bmp",3262,False,192811,240,267,"Jacquie_4.avi (402 x 288)",2999,"garbagecan_box.bmp",3281,"blacksquare.bmp",1044,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,16,20.02,retrieval,57,SPACE,"blacksquare.bmp",1037,True,192811,240,267,"Jacquie_4.avi (402 x 288)",2999,"garbagecan_box.bmp",3281,"blacksquare.bmp",1044,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,17,21.01,retrieval,1,1,"lettuce_corn.bmp",47849,True,200402,241,267,"Jacquie_4.avi (402 x 288)",2999,"lettuce_corn.bmp",47864,"blacksquare.bmp",1393,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,17,21.02,retrieval,57,SPACE,"blacksquare.bmp",1389,True,200402,241,267,"Jacquie_4.avi (402 x 288)",2999,"lettuce_corn.bmp",47864,"blacksquare.bmp",1393,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,18,22.01,retrieval,1,1,"knife_key.bmp",1768,False,252925,643,669,"Jacquie_4.avi (402 x 288)",2999,"knife_key.bmp",1795,"blacksquare.bmp",1179,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,18,22.02,retrieval,57,SPACE,"blacksquare.bmp",1175,True,252925,643,669,"Jacquie_4.avi (402 x 288)",2999,"knife_key.bmp",1795,"blacksquare.bmp",1179,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,19,23.01,retrieval,1,1,"hand_foot.bmp",182,False,259567,240,266,"Jacquie_4.avi (402 x 288)",2999,"hand_foot.bmp",201,"blacksquare.bmp",938,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,19,23.02,retrieval,57,SPACE,"blacksquare.bmp",933,True,259567,240,266,"Jacquie_4.avi (402 x 288)",2999,"hand_foot.bmp",201,"blacksquare.bmp",938,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,20,24.01,retrieval,1,1,"star_cloud.bmp",12362,True,263971,227,254,"Jacquie_4.avi (402 x 288)",2999,"star_cloud.bmp",12385,"blacksquare.bmp",1017,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,20,24.02,retrieval,57,SPACE,"blacksquare.bmp",1009,True,263971,227,254,"Jacquie_4.avi (402 x 288)",2999,"star_cloud.bmp",12385,"blacksquare.bmp",1017,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,21,25.01,retrieval,1,1,"ring_watch.bmp",732,True,280626,615,643,"Jacquie_4.avi (402 x 288)",2999,"ring_watch.bmp",750,"whiteborder.bmp",1017,
9/27/2014,09:32,C:\Documents and Settings\lab\Desktop\Tadpole\2yoRETRIEVAL\Retrieval_4.csv,26,1,2,21,25.02,retrieval,57,SPACE,"whiteborder.bmp",1010,True,280626,615,643,"Jacquie_4.avi (402 x 288)",2999,"ring_watch.bmp",750,"whiteborder.bmp",1017,
