Data properties:

Recording date: 5/21/2016
Recording time: 12:47:11:653 (corresponds to time 0)
Study: 11
Subject: 124
Recording: 124
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Velocity threshold: 35
Distance threshold: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
248	124008	516	688	356	
249	124524	250	726	377	
250	124774	383	254	304	
251	125157	716	266	257	
252	125873	566	685	309	
253	126622	183	549	305	
254	126806	799	755	338	
255	127605	499	101	99	
256	128504	83	497	425	
257	128588	583	365	338	
258	129170	250	731	321	
259	129420	566	895	305	
260	129987	383	262	348	
261	130369	1033	368	309	
262	131652	66	-408	663	
263	131869	100	3	164	
264	131968	400	525	375	
265	132368	483	244	316	
266	132851	316	326	430	
267	133167	283	259	333	
268	133451	316	238	277	
269	133767	183	280	351	
270	133950	300	696	351	
271	134250	616	337	-1	
272	134866	300	721	356	
273	135166	333	882	273	
274	135499	166	762	445	
275	135666	233	215	367	
276	135899	200	160	316	
277	136099	966	381	463	
278	137065	300	696	422	
279	137364	216	650	475	
280	137714	200	474	-49	
281	137914	433	91	86	
282	138347	216	671	340	
283	138564	566	872	330	
284	139130	516	260	370	
285	139846	383	684	305	
286	140229	550	891	333	
287	140778	433	249	127	
288	141211	316	388	141	
289	141528	117	533	160	
290	141894	17	1032	534	
291	142195	266	1035	552	
292	142461	667	904	325	
293	143128	100	568	287	
294	143444	100	560	276	
295	143544	1432	418	244	
296	144976	266	397	205	
297	145243	266	356	184	
