28,2.71,1.34,2.72,2.99,2.98,2.55,2.98,2.98,2.99,2.28
29,0,2.33,2.8,2.36,1.25,2.02,2.84,2.98,2.61,0.02
30,0,1.48,0.75,2.99,2.75,2.27,2.75,1.38,1.01,0.92
31,2.48,2.77,2.82,2.79,1.34,2.87,2.77,1.57,2.83,2.98
32,2.99,2.27,2.99,2.15,2.84,2.99,0,2.85,2.63,2.98
33,0.99,2.23,2.77,2.11,2.98,2.61,2.06,1.99,2.87,2.44
34,2.99,2.47,0,1.22,0,0,1.28,0.58,1.83,0.99
35,2.98,2.99,2.64,2.99,2.99,2.98,2.99,2.98,2.77,2.98
36,2.92,2.86,2.65,2.43,2.64,2.82,2.82,2.53,2.58,2.41
37,0.33,0,0.37,0.43,0.33,0,1.48,0.9,0,0.35
38,2.98,2.35,2.74,2.44,2.51,2.98,2.97,2.94,2.99,2.58
39,1.75,0.03,0,0,0,0,0.02,0,0.47,0
40,2.49,1.4,1.93,2.52,2.98,2.5,2.85,2.64,2.1,1.97
41,1.93,1.56,1.87,2.98,1.1,2.54,2.41,2.65,1.98,2.63
42,2.26,2.66,0,2.64,0.05,2.17,2.18,2.48,1.98,0
43,1.37,1.75,1.9,2.4,2.12,1.58,2.33,2.98,2.97,2.03
44,2.01,2.42,1.87,2.13,2.41,0.12,2.46,1.32,2.68,2.45
45,2.93,2.79,2.58,2.68,2.93,2.23,2.83,2.84,2.67,2.42
46,2.99,2.57,2.98,2.71,2.98,2.99,2.07,1.52,2.44,2.98
47,1.52,0.91,0.44,2.97,2.66,0,2.91,1.05,1.52,1.35
48,1.96,2.38,2.99,2.73,2.99,2.43,2.98,2.97,2.98,2.98
49,2.87,1.87,1.88,2.98,2.44,2.17,2.29,2.04,2.98,2.89
50,2.99,1.97,2.98,2.27,2.99,2.47,2.62,2.99,2.98,2.98
51,2.98,2.98,2.99,2.98,2.98,2.98,2.97,2.98,2.66,2.77
52,0.95,1.15,1.65,2.99,2.56,1.17,2.86,2.91,0.67,1.15
54,2.37,2.48,1.07,1.9,2.29,2.81,2.44,2.77,2.98,2.4
