136,2.97,2.4,2.98,2.99,2.97,2.65,2.98,2.98,2.68,2.97
137,0.18,0.58,0.03,0.39,0,2.54,1.4,1.63,2.17,2.27
138,2.57,2.72,1.9,2.99,2.23,2.97,2.98,0.65,2.6,2.98
139,1.87,2.85,2,2.57,2.76,2.77,2.54,1.62,2.41,1.62
141,2.17,1.16,2.08,2.98,2.87,1.2,2.71,2.98,1.2,2.35
142,0,0.6,1.08,0.95,0.53,0.78,0.7,0.87,1.43,1.23
143,2.98,0.32,2.21,2.76,0,2.99,2.68,2.85,2.58,2.98
144,2.67,2.67,2.72,2.78,2.72,2.98,2.49,2.98,2.21,2.99
145,2.97,1.78,2.98,2.96,2.46,2.87,2.48,2.85,1.2,2.86
146,2.97,1.97,2.99,2.62,2.97,2.98,2.85,2.99,2.97,2.98
147,2.98,1.38,2.98,2.52,2.5,2.97,2.08,2.51,1.5,2.47
148,1.56,0.84,2.98,2.75,2.97,2.98,2.98,2.97,2.41,2.1
149,2.97,2.68,2.4,2.98,1.58,2.71,2.97,2.98,2.98,2.99
150,1.87,2.85,2.97,2.73,2.97,2.73,2.49,2.79,2.98,2.74
151,1.05,2.74,0.45,1.75,1.38,0.02,2.8,1.42,0.67,2.18
153,1.68,1.5,1.59,2.82,1.33,2.97,2.84,2.98,2.98,2.86
155,0,1.25,2.99,2.98,0,2.64,2.03,2.38,2.34,2.02
156,1.68,2.75,2.98,2.99,1.93,2.76,2.12,1.99,2.83,2.97
157,2.98,0.93,2.7,2.27,2.98,1.35,1.36,2.34,2.97,2.97
158,2.98,0,0.82,2.98,1.31,1.42,0.35,2.79,0,1.7
159,2.98,0.55,2.43,2.54,2.98,2.15,2.86,2.71,2.68,2.36
160,2.98,2.98,2.98,2.98,1.25,2.98,0,0,1.24,2.95
161,2.98,1.68,1.88,2.98,1.99,2.53,0,0.75,2.98,2.98
162,0.57,2.74,0.75,1.65,1.8,1.14,0,2,2.1,0
163,1.68,2.97,2.97,1.84,1.71,2.7,2.34,1.59,2.16,1.44
164,1.17,2.65,2.57,2.98,2.48,2.98,2.97,2.98,2.98,2.8
165,1.91,2.77,2.38,1.71,1.91,2.68,1.6,2.01,2.01,1.3
166,1.13,1.18,2.65,0.73,0.57,0.63,2.13,1.52,2.36,1.22
167,2.97,2.97,2.98,2.99,2.3,2.98,2.74,2.79,2.98,
169,2.66,2.64,2.98,2.97,2.71,2.98,2.98,2.55,2.69,2.75
170,1.8,2,1.28,2.17,2.62,2.98,1.25,2.75,0.19,2.98
171,2.62,2.12,1.85,2.58,2.84,2.49,0.42,2.47,2.18,2.96
172,1.27,1.7,1.67,1.63,2.65,1.48,1.4,2.66,2.63,2.13
173,0.49,0,0.47,0.58,0,1.48,1.5,0.15,1.13,0
174,1.67,2.56,1.37,1.98,1.65,2.71,1.9,1.76,1.58,0.63
175,2.03,2.98,2.98,2.98,1.96,1.98,1.92,2.22,2.08,1.53
