155,2.45,3,3.7,0.25,1.6,2,5.61,3.55,1.49,1.12,1.32,0.9,4.08,1.65,0.88,3.1,0,0.98,2.07,0.58,2.91,3.53,3.48,0.95,3.48,2.1,0,0.85,1.23,0.18,0,0.17,4.02,0.8,0.23,0.93,3.25,3.06,0.53,1.17
156,0,0,0,0,0.83,0.77,1.93,0.27,1.23,1.23,0.58,0,0.4,0.62,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,12.88,5.18,5.81,2.36,2.56,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,3.29,0,0,0,3.94,3.68,1.53,1.03,0.45,1.63,0.33,0.8,1.65,1.82,1.4,1.35,1.73
158,4.9,0.88,2.68,2.83,2.05,6.53,3.9,2.58,2,3.43,5.39,1.6,8.09,1.12,3.43,1.02,5.48,2.7,1.5,2.43,0.58,0,0.22,5.23,0.48,0.52,10.49,6.18,1.18,2.91,3.98,0.2,0.53,5.52,1.6,2.43,2,3.4,0.38,6.03
160,0.93,0.64,1.41,0.78,0.9,1.23,1.38,0.77,1.23,0.83,3.77,1.5,1.15,1.1,0,2,1.22,1,0.59,0,1.85,1.95,0,1.32,2.33,1.37,0.55,0.4,0.52,0.8,0,0,0.73,0.87,0.93,1.86,1.15,2.51,0.53,1.29
161,2.03,1.3,2.7,2.63,3.62,0.5,0.98,1.77,1.35,1.33,4.31,0.6,3.51,1.07,1.73,1.52,4.08,1.95,5.43,4.33,2.03,0.88,1.87,1.08,3.23,1.32,1.57,0.57,2.08,0.53,1.93,3.13,2.95,0.57,2.83,1.08,0.95,0.44,4.33,2.6
162,0.08,0.9,0,0.33,0,0,0,0.75,0,0.28,0.63,0.29,2.76,0.62,1.17,0.4,1.43,0.6,0,0,0.52,0,0.4,0.83,0.25,0.42,2.71,0,1.78,0,0,0.46,1.15,0.73,0.75,0,0,0,0.4,0.31
164,2.46,0,0,0,0.57,0.7,0,0,0.63,0,0.71,0.27,3.98,2.37,0,0,0,0,0.32,0,1.91,0.5,0.18,1.38,0,0,0,1.08,0.33,0,1.32,0,0.97,0,0,0,0.15,0.92,0,0.35
165,0.82,1.53,0.47,0.9,0.28,0,0,0,0,0,1,1.02,0,0,0.02,0.3,0.57,0.75,0.53,0,1.08,0.4,2,1.3,0,0,1,0,1.28,0.62,0.92,1.01,0,0,1.17,0.33,0.23,1.08,0.5,0.72
166,0.73,0.66,1.23,0.43,1.4,0,0.08,1.33,0.94,0,0.45,1.92,0.3,1.83,0,1.85,2.31,0.85,0.8,0.29,0.7,1.71,2.25,2.55,0.65,2.3,2.01,1.82,0.57,3.71,2.33,3.31,1.58,1.62,1.15,0,4.36,0.09,1.91,1.52
167,0.65,2.21,0.55,2.22,1.45,0.32,0.33,1.55,0.18,0.58,0.22,1.18,0.3,0.53,0.7,0.08,0,0,0,0,0.43,0.45,1.02,1.38,1.38,0.62,0.53,1.25,0.52,0.78,0.73,0.77,0.72,1.17,0.9,0.87,0.5,1.08,0.72,1.78
169,2.37,0,0.4,0,0.32,0,0.75,1.62,2.22,0,0.41,0.47,0.12,0,0,0.8,0,0.8,2.05,0.57,0.68,0,1.68,3.36,2.17,0,1.9,0.8,0.55,0.27,1.82,0,0,0.55,0,0.82,0,0.48,0.42,1.17
170,0.9,1.27,2.1,0.9,4.38,4.97,0.2,1.98,1.11,2.17,3.09,0.55,5.7,6.33,0.15,0.74,1.02,1.01,1.77,0.82,1.29,2.35,0,1.28,2.96,3.09,1.77,1.19,1.58,2.73,3.76,1.4,2.53,0.45,1.43,1.63,2.26,0,3.64,2.43
171,6.04,2.13,14.46,2.5,4.98,5.4,4.73,0.27,2.41,1.98,0.17,1.1,4.98,3.68,0,0,0,0,0.67,0,0,0,4.87,1.35,0,0,1.83,4.19,5,1.95,3.2,1.93,2.21,0,7.69,5.59,2.47,1.53,3.39,1.77
173,1.58,0,0,0,0.18,0.2,0.22,0,0,0.32,0,0,0.43,0.32,0,0,0.43,0,0.47,0,0.02,1.6,0.67,0,0.17,0,0.52,0.17,0,0.63,0.47,0.57,0.33,0,0,0,0,0.73,0.15,0
174,0.62,0.18,0,0,0,0,0.73,0,1.97,0.25,0.65,0.98,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0
175,1.23,0.55,0.22,0.66,0.8,0,0.38,1.43,0.12,0,0.38,0,0.53,0.65,1.08,0,1.87,0.45,0,0,0,0,0.32,0,0,0,0.33,0.48,0,0,2.3,0.62,1.02,0.87,1.63,0.67,1.22,0.47,0,0.68
176,0,0,0,0,0.75,0.37,4.63,1.95,0,0,0.95,0.77,5.47,3.48,3.71,5.1,0.72,0.26,0.38,0.36,0,0,0.02,0,0.02,0,0,0,0,0.7,1.47,0.72,1.03,0.53,1.28,0.22,1.18,0.25,1.07,0.62
177,1.17,0,0.98,0,0,0.7,0.83,0,3.78,3.65,7.89,0.97,1.23,0,5.98,3.03,0.83,1.78,0.52,1.17,0.15,0.27,0,0,1.25,0,0.53,0,0.48,0,0,0.7,0,0,0.68,0.22,1.97,3.41,4.88,2.8
